 ,成就ID,成就名称 不能超过十个字（2个英文字母算一个字）,成就描述,图标ID,背景颜色,小图标ID,成就主类型,成就子类型,成就完成条件,成就完成数组,成就分数,奖励铜钱,奖励灵力,奖励声望,奖励物品ID,奖励金币,奖励称号ID,是否触发系统消息,是否不显示,是否可领取奖励,前十领取
,id,name,des,icoUrl,bgColor,smallIcoUrl,parentType,subType,condition,completeArray,score,copper,wakan,prestige,itemId,gold,title,msg,isHide,isPrize,
,101001,人物！十级,人物达到10级,achieve/5001.png,1,,1,101,101,10,10,,,,,,,,,,
,101002,人物！二十级,人物达到20级,achieve/5002.png,1,,1,101,101,20,10,,,,,,,,,,
,101003,人物！三十级,人物达到30级,achieve/5003.png,1,,1,101,101,30,10,,,,,,,,,,
,101004,人物！四十级,人物达到40级,achieve/5004.png,2,,1,101,101,40,10,,,,,,,,,,
,101005,人物！五十级,人物达到50级,achieve/5005.png,2,,1,101,101,50,20,,,,,,,,,,
,101006,人物！六十级,人物达到60级,achieve/5006.png,2,,1,101,101,60,20,,,,,,,,,,
,101007,人物！七十级,人物达到70级,achieve/5007.png,3,,1,101,101,70,20,,,,,,,,,,
,101008,人物！八十级,人物达到80级,achieve/5008.png,3,,1,101,101,80,20,,,,,,,,,,
,101009,人物！九十级,人物达到90级,achieve/5009.png,3,,1,101,101,90,50,,,,,,,,,,
,101010,人物！一百级,人物达到100级,achieve/5010.png,4,,1,101,101,100,50,,,,,,,,,,
,101011,人物！一百一十级,人物达到110级,,4,,1,101,101,110,0,,,,,,,,1,,
,101012,人物！一百二十级,人物达到120级,,4,,1,101,101,120,0,,,,,,,,1,,
,101013,人物！一百三十级,人物达到130级,,5,,1,101,101,130,0,,,,,,,,1,,
,101014,人物！一百四十级,人物达到140级,,5,,1,101,101,140,0,,,,,,,,1,,
,101015,人物！一百五十级,人物达到150级,,5,,1,101,101,150,0,,,,,,,,1,,
,101016,人物！一百六十级,人物达到160级,,6,,1,101,101,160,0,,,,,,,,1,,
,101017,人物！一百七十级,人物达到170级,,6,,1,101,101,170,0,,,,,,,,1,,
,101018,人物！一百八十级,人物达到180级,,6,,1,101,101,180,0,,,,,,,,1,,
,101019,人物！一百九十级,人物达到190级,,7,,1,101,101,190,0,,,,,,,,1,,
,101020,人物！二百级,人物达到200级,,7,,1,101,101,200,0,,,,,,,,1,,
,101021,成就！二百,成就点数达到200点,achieve/5086.png,1,,1,101,131,200,10,10000,1000,,,50,,,,1,
,101022,成就！一千,成就点数达到1000点,achieve/5087.png,1,,1,101,131,1000,10,20000,2000,,,50,,,,1,
,101023,成就！一万,成就点数达到10000点,achieve/5088.png,2,,1,101,131,5000,10,,,,,,,,,,
以后,101024,成就！两万,成就点数达到20000点,,3,,1,101,131,20000,0,,,,,,,,1,,
,102001,铜钱！第一袋金,拥有5万铜钱,achieve/5011.png,1,,1,102,102,50000,10,,,,,,,,,,
,102002,铜钱！略有所得,拥有100万铜钱,achieve/5012.png,2,,1,102,102,1000000,10,,,,,,,,,,
,102003,铜钱！小有积蓄,拥有1000万铜钱,achieve/5013.png,3,,1,102,102,10000000,10,,,,,,,,,,
,102004,铜钱！财大气粗,拥有1亿铜钱,icon/copperBig.png,4,,1,102,102,100000000,20,,,,,,,,,,
,102005,铜钱！富甲天下,拥有5亿铜钱,icon/copperBig.png,5,,1,102,102,500000000,50,,,,,,,,,,
,102006,声望！初出茅庐,声望达到1000,achieve/5014.png,1,,1,102,103,1000,10,,,,,,,,,,
,102007,声望！小有名气,声望达到10000,achieve/5015.png,2,,1,102,103,10000,10,,,,,,,,,,
,102008,声望！声名大噪,声望达到10万,achieve/5016.png,3,,1,102,103,100000,20,,,,,,,,,,
,102009,声望！名扬四海,声望达到50万,achieve/5017.png,4,,1,102,103,500000,30,,,,,,,,,,
,102010,声望！天下皆知,声望达到100万,bag/shengwang.png,5,,1,102,103,1000000,50,,,,,,,,,,
,102011,声望！威震三界,声望达到200万,bag/shengwang.png,6,,1,102,103,2000000,50,,,,,,,,,,
,103001,强化！十级,将任意一件装备强化至10级,achieve/5029.png,1,,1,103,108,10|1,10,,,,,,,,,,
,103002,强化！二十级,将任意一件装备强化至20级,achieve/5030.png,1,,1,103,108,20|1,10,,,,,,,,,,
,103003,强化！三十级,将任意一件装备强化至30级,achieve/5031.png,2,,1,103,108,30|1,10,,,,,,,,,,
,103004,强化！四十级,将任意一件装备强化至40级,achieve/5032.png,2,,1,103,108,40|1,10,,,,,,,,,,
,103005,强化！五十级,将任意一件装备强化至50级,achieve/5033.png,3,,1,103,108,50|1,20,,,,,,,,,,
,103006,强化！六十级,将任意一件装备强化至60级,achieve/5034.png,3,,1,103,108,60|1,20,,,,,,,,,,
,103007,强化！七十级,将任意一件装备强化至70级,achieve/5035.png,4,,1,103,108,70|1,20,,,,,,,,,,
,103008,强化！八十级,将任意一件装备强化至80级,achieve/5036.png,4,,1,103,108,80|1,20,,,,,,,,,,
,103009,强化！九十级,将任意一件装备强化至90级,achieve/5037.png,5,,1,103,108,90|1,30,,,,,,,,,,
,103010,强化！一百级,将任意一件装备强化至100级,achieve/5038.png,5,,1,103,108,100|1,30,,,,,,,,,,
新增,103011,强化！累计五十次,累计强化装备50次,achieve/5039.png,1,,1,103,109,50,10,,,,,,,,,,
,103012,强化！累计一百次,累计强化装备100次,achieve/5040.png,2,,1,103,109,100,10,,,,,,,,,,
,103013,强化！累计五百次,累计强化装备500次,achieve/5041.png,3,,1,103,109,500,30,,,,,,,,,,
,103014,强化！累计一千次,累计强化装备1000次,achieve/5042.png,4,,1,103,109,1000,100,,,,,,,,,,
,103015,装备！优秀,装备一件优秀品质的装备,equip/2402.png,2,,1,103,110,2|1,10,,,,,,,,,,
,103016,装备！精致,装备一件精致品质的装备,equip/2405.png,3,,1,103,110,3|1,10,,,,,,,,,,
,103017,装备！卓越,装备一件卓越品质的装备,equip/2407.png,4,,1,103,110,4|1,10,,,,,,,,,,
,103018,装备！珍奇,装备一件珍奇品质的装备,equip/2411.png,5,,1,103,110,5|1,20,,,,,,,,,,
,103019,装备！神圣,装备一件神圣品质的装备,equip/2417.png,6,,1,103,110,6|1,30,,,,,,,,,,
以后,103020,装备！传说,装备一件传说品质的装备,,7,,1,103,110,7|1,0,,,,,,,,1,,
,103021,装备！全套优秀达成,角色全身所有装备品质都为优秀,equip/2403.png,2,,1,103,110,2|10,10,,,,,,,,,,
,103022,装备！全套精致达成,角色全身所有装备品质都为精致,equip/2406.png,3,,1,103,110,3|10,10,,,,,,,,,,
,103023,装备！全套卓越达成,角色全身所有装备品质都为卓越,equip/2409.png,4,,1,103,110,4|10,20,,,,,,,,,,
,103024,装备！全套珍奇达成,角色全身所有装备品质都为珍奇,equip/2413.png,5,,1,103,110,5|10,30,,,,,,,,,,
,103025,装备！全套神圣达成,角色全身所有装备品质都为神圣,equip/2418.png,6,,1,103,110,6|10,50,,,,,,,,,,
以后,103026,装备！全套传说达成,角色全身所有装备品质都为传说,,7,,1,103,110,7|10,0,,,,,,,,1,,
,103027,灵石！珍奇,镶嵌一枚珍奇品质的宝石,gem/1004.png,5,,1,103,112,5|1,10,,,,,,,,,,
,103028,灵石！神圣,镶嵌一枚神圣品质的宝石,gem/1005.png,6,,1,103,112,6|1,20,,,,,,,,,,
