策划备注名,第X次,金币价格
,num,gold_price
,1,20
,2,40
,3,40
,4,40
,5,40
,6,80
,7,80
,8,80
,9,80
,10,80
,11,100
,12,100
,13,100
,14,100
,15,100
,16,100
,17,100
,18,100
,19,100
,20,100
,21,200
,22,200
,23,200
,24,200
,25,200
,26,200
,27,200
,28,200
,29,200
,30,200
,31,200
,32,200
,33,200
,34,200
,35,200
,36,200
,37,200
,38,200
,39,200
,40,200
,41,400
,42,400
,43,400
,44,400
,45,400
,46,400
,47,400
,48,400
,49,400
,50,400
,51,400
,52,400
,53,400
,54,400
,55,400
,56,400
,57,400
,58,400
,59,400
,60,400
,61,400
,62,400
,63,400
,64,400
,65,400
,66,400
,67,400
,68,400
,69,400
,70,400
,71,400
,72,400
,73,400
,74,400
,75,400
,76,400
,77,400
,78,400
,79,400
,80,400
,81,400
,82,400
,83,400
,84,400
,85,400
,86,400
,87,400
,88,400
,89,400
,90,400
,91,400
,92,400
,93,400
,94,400
,95,400
,96,400
,97,400
,98,400
,99,400
,100,400
