策划备注名,ID,名称,介绍,图标,图片,奖励,物品奖励,角色1物品奖励,角色2物品奖励,角色3物品奖励,角色4物品奖励,条件类型,条件,限数领取
,id,name,desc,ico,picture,reward,item_reward,item_reward_1,item_reward_2,item_reward_3,item_reward_4,type,key,reward_limit
,101,人物！四十级,人物等级达到40,,,,2010050|1~2020002|1,,,,,100,40,200
,102,人物！五十级,人物等级达到50,,,,2010051|1~2020003|1,,,,,100,50,100
,103,人物！五十五级,人物等级达到55,,,,2010052|1~2020004|1,,,,,100,55,50
,104,人物！六十级,人物等级达到60,,,,2010054|1~2020005|1~1000004|2~1000005|2,,,,,100,60,7
,105,人物！六十五级,人物等级达到65,,,,2010056|1~2020006|1~5000850|1~5000890|1,,,,,100,65,5
,106,人物！七十级,人物等级达到70,,,,2010058|1~2020007|1~5000880|1~5000830|1,,,,,100,70,3
,,,,,,,,,,,,,,
,201,公会排名第一会长,,,,,2010058|1~2020007|1~5000860|1,,,,,200,1,
,202,公会排名第二会长,,,,,2010054|1~2020006|1,,,,,200,2,
,203,公会排名第三会长,,,,,2010052|1~2020005|1,,,,,200,3,
,204,公会等级达到三级,,,,,2010050|1~2020003|1~1000004|1~1000005|1,,,,,201,3,
,,,,,,,,,,,,,,
,301,竞技场排名第一,,,,,2010058|1~2020007|1~5000840|1,,,,,300,1~1,
,302,竞技场2~10名 ,,,,,2010054|1~2020006|1,,,,,300,2~10,
,303,竞技场11~50名,,,,,2010052|1~2020005|1,,,,,300,11~50,
,304,竞技场51~200名,,,,,2010050|1~2020003|1,,,,,300,51~200,
,,,,,,,,,,,,,,
,401,VIP排名第一（废弃,,,,,,,,,,400,1~1,
,402,VIP2~10名 （废弃,,,,,,,,,,400,2~10,
,403,VIP11~50名（废弃,,,,,,,,,,400,11~50,
,404,VIP等级达到3（废弃,,,,,,,,,,401,3,
,,,,,,,,,,,,,,
,501,跨服竞技场排名第一,,,,,2010058|1~2020007|1~5000870|1,,,,,500,1~1,
,502,跨服竞技场2~10名 ,,,,,2010054|1~2020006|1,,,,,500,2~10,
,503,跨服竞技场11~50名,,,,,2010052|1~2020005|1,,,,,500,11~50,
,504,跨服竞技场等级达到3,,,,,2010050|1~2020003|1~1000004|1~1000005|1,,,,,501,3,
,,,,,,,,,,,,,,
,601,声望排名第一,,,,,2010058|1~2020007|1~5000820|1,,,,,600,1~1,
,602,声望2~10名 ,,,,,2010054|1~2020006|1,,,,,600,2~10,
,603,声望11~50名,,,,,2010052|1~2020005|1,,,,,600,11~50,
,604,声望达到3000,,,,,2010050|1~2020003|1~1000004|1~1000005|1,,,,,601,3000,
,,,,,,,,,,,,,,
,701,战力排名第一,,,,,2010058|1~2020007|1~5000810|1,,,,,700,1~1,
,702,战力2~10名 ,,,,,2010054|1~2020006|1,,,,,700,2~10,
,703,战力11~50名,,,,,2010052|1~2020005|1,,,,,700,11~50,
,704,战力超过10000,,,,,2010050|1~2020003|1~1000004|1~1000005|1,,,,,701,10000,
,,,,,,,,,,,,,,
,801,神翼排名第一,,,,,2010058|1~2020007|1,5000801|1,5000802|1,5000803|1,5000804|1,800,1~1,
,802,神翼排名2~10名 ,,,,,2010054|1~2020006|1,,,,,800,2~10,
,803,神翼排名11~50名,,,,,2010052|1~2020005|1,,,,,800,11~50,
,804,神翼等级达到4,,,,,2010050|1~2020003|1~1000004|1~1000005|1,,,,,801,4,
