策划备注,奖励排名,物品,铜钱,金币,灵力,声望
,ranking,item,copper,gold,wakan,prestige
1奖励,1,,2000000,0,100000,10000
2奖励,2,,1800000,0,90000,6000
3奖励,3,,1600000,0,80000,5000
4奖励,4,,1400000,0,70000,4000
5奖励,5,,1200000,0,60000,3000
6奖励,6,,1160000,0,58000,2800
7奖励,7,,1120000,0,56000,2600
8奖励,8,,1080000,0,54000,2400
9奖励,9,,1040000,0,52000,2200
10奖励,10,,1000000,0,50000,2000
11奖励,11,,990000,0,49500,1950
12奖励,12,,980000,0,49000,1900
13奖励,13,,970000,0,48500,1850
14奖励,14,,960000,0,48000,1800
15奖励,15,,950000,0,47500,1750
16奖励,16,,940000,0,47000,1700
17奖励,17,,930000,0,46500,1650
18奖励,18,,920000,0,46000,1600
19奖励,19,,910000,0,45500,1550
20奖励,20,,900000,0,45000,1500
21奖励,21,,895000,0,44750,1475
22奖励,22,,890000,0,44500,1450
23奖励,23,,885000,0,44250,1425
24奖励,24,,880000,0,44000,1400
25奖励,25,,875000,0,43750,1375
26奖励,26,,870000,0,43500,1350
27奖励,27,,865000,0,43250,1325
28奖励,28,,860000,0,43000,1300
29奖励,29,,855000,0,42750,1275
30奖励,30,,850000,0,42500,1250
31奖励,31,,845000,0,42250,1235
32奖励,32,,840000,0,42000,1220
33奖励,33,,835000,0,41750,1205
34奖励,34,,830000,0,41500,1190
35奖励,35,,825000,0,41250,1175
36奖励,36,,820000,0,41000,1160
37奖励,37,,815000,0,40750,1145
38奖励,38,,810000,0,40500,1130
39奖励,39,,805000,0,40250,1115
40奖励,40,,800000,0,40000,1100
41奖励,41,,795000,0,39750,1090
42奖励,42,,790000,0,39500,1080
43奖励,43,,785000,0,39250,1070
44奖励,44,,780000,0,39000,1060
45奖励,45,,775000,0,38750,1050
46奖励,46,,770000,0,38500,1040
47奖励,47,,765000,0,38250,1030
48奖励,48,,760000,0,38000,1020
49奖励,49,,755000,0,37750,1010
50奖励,50,,750000,0,37500,1000
51奖励,51,,745000,0,37250,990
52奖励,52,,740000,0,37000,980
53奖励,53,,735000,0,36750,970
54奖励,54,,730000,0,36500,960
55奖励,55,,725000,0,36250,950
56奖励,56,,720000,0,36000,940
57奖励,57,,715000,0,35750,930
58奖励,58,,710000,0,35500,920
59奖励,59,,705000,0,35250,910
60奖励,60,,700000,0,35000,900
61奖励,61,,695000,0,34750,890
62奖励,62,,690000,0,34500,880
63奖励,63,,685000,0,34250,870
64奖励,64,,680000,0,34000,860
