背包个数,金币价格,时间（秒）
num,gold,time
1,2,300
2,4,600
3,6,1200
4,8,2400
5,10,3600
6,12,5400
7,14,7200
8,16,10800
9,18,14400
10,20,18000
11,22,21600
12,24,25200
13,26,
14,28,
15,30,
16,32,
17,34,
18,36,
19,38,
20,40,
21,42,
22,44,
23,46,
24,48,
25,50,
26,52,
27,54,
28,56,
29,58,
30,60,
31,62,
32,64,
33,66,
34,68,
35,70,
36,72,
37,74,
38,76,
39,78,
40,80,
41,82,
42,84,
43,86,
44,90,
45,94,
46,98,
47,102,
48,106,
49,110,
50,114,
51,118,
52,122,
53,126,
54,130,
55,134,
56,138,
57,142,
58,146,
59,150,
60,154,
61,158,
62,162,
63,166,
64,170,
65,174,
66,178,
67,182,
68,186,
69,190,
70,194,
71,198,
72,202,
73,210,
74,220,
75,230,
76,240,
77,250,
78,260,
79,270,
80,280,
81,290,
82,300,
83,310,
84,320,
85,330,
86,340,
87,350,
88,360,
89,370,
90,380,
91,390,
92,400,
93,410,
94,420,
95,430,
96,440,
97,450,
98,460,
99,470,
100,480,
101,490,
102,500,
103,520,
104,540,
105,560,
106,580,
107,600,
108,620,
109,640,
110,660,
111,680,
112,700,
113,720,
114,740,
115,760,
116,780,
117,800,
118,820,
119,840,
120,860,
121,880,
122,900,
123,920,
124,940,
125,960,
126,980,
127,1000,
128,1020,
129,1040,
130,1060,
131,1080,
132,1100,
133,1150,
134,1200,
135,1250,
136,1300,
137,1350,
138,1400,
139,1450,
140,1500,
141,1550,
142,1600,
143,1650,
144,1700,
145,1750,
146,1800,
147,1850,
148,1900,
149,1950,
150,2000,
