策划备 注名,BuffID,技能名,描述,1暂时改变当前值（鸡肋……）2暂时改变属性值（加攻 加防 加暴击等）3改变当前值(回蓝 回血 回战意等）4间隔触发型特殊效果 5霸体 6XX全暴击（技能类型）7血量触发XX 8每百分比血量增强XX 9特定buff时间修正 10特定buff免疫 11DOT&HOT（正负号区别） 12无敌,图标,持续时间（s),间隔,"类型(0buff,1debuff)",属性,效果,攻击类型,属性条件类型,属性百分比,失血百分比,伤害增加点数,修正buffid,修正时间,免疫buffs种类
,id,name,describe,type,icon,time,interval,buffType,attr,effectId,critAttackType,attrCdtType,attrCdtPer,losePerHp,riseDamage,modifyBuffIds,modifyTime,immuneBuffs
,1,当前血量增加10（10秒后归还）,,1,,10,,0,4|10,,,,,,,,,
,2,5秒内 最大HP+10（10秒后扣除）,,2,,5,,0,4|10,,,,,,,,,
,3,加血 10点,,3,,,,1,4|10,,,,,,,,,
,4,间隔型 特殊效果,,4,,30,3,1,,1002,,,,,,,,
,5,霸体,,5,,10,,0,,,,,,,,,,
,6,无双全暴击,,6,,,,1,,,3,,,,,,,
,7,血量低于20%无双战意恢复,,7,,,2,1,,1003,,4,20,,,,,
,8,每失血百分比增加伤害,,8,,,,,,,,,,10,100,,,
,9,某buff时间增加10,,9,,,,,,,,,,,,4,10,
,10,免疫某Buff,,10,,,,,,,,,,,,,,4
,11,DOT&HOT（正负号区别）,,11,,40,4,0,4|-10,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,12,起身无敌,,12,,2,,0,,,,,,,,,,
,13,小怪刷新无敌,,12,,1.5,,0,,,,,,,,,,
,14,起身霸体（boss）,,5,,2,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,50001,唯我独尊,造成的伤害翻倍,,shuangbei,,,,,,,,,,,,,
,50002,气吞山河,暴击率提高到100%,,baoji,,,,,,,,,,,,,
,50003,霸王之怒,全程保持霸体状态,,bati,,,,,,,,,,,,,
,50004,防御buff,积分世界boss 防御buff,,,,,,,,,,,,,,,
,50005,如屠猪狗,对残血BOSS造成额外伤害,,zhansha,,,,,,,,,,,,,
