普通小怪10000+ 普通精英30000+ 普通boss50000+ 精英XX100000+ 魔王XX200000+,角色ID,角色名,描述,动作,数据,半身像,"头像=INDEX([头像与BOSS对应关系.xlsx]Sheet1!$B:$B,MATCH(E3,[头像与BOSS对应关系.xlsx]Sheet1!$C:$C,0),0)",属性模版ID,AI ID,重量,跳跃,速度,击退次数保护,浮空次数保护,重量增加极限,不能浮空,击杀掉落,"符号显示高度=INDEX('[boss小怪身高.xlsx]Sheet1'!$B:$B,MATCH(E3,'[boss小怪身高.xlsx]Sheet1'!$A:$A,0),0)"
remark,id,name,desc,action,data,pic,headpic,attr_id,ai_id,weight,jump,speed,repel_num_protect,float_num_protect,weight_add_num,cannt_float,kill_drop_id,mark_height
,,,,,,,,,,,,,,,,,,
黄土之阵小怪1,10111,狼精,狼精,Z0020,Z0020,,,1001,1002,10,,8,15,10,5,,,198
黄土之阵小怪2,10112,石怪,石怪,Z0022,Z0022,,,1001,1002,10,,8,15,10,5,,,185
黄土之阵小怪3,10113,小怪3,,,,,,1001,,10,,8,15,10,5,,,
黄土之阵小怪4,10114,小怪4,,,,,,1001,,10,,8,15,10,5,,,
黄土之阵小怪5,10115,小怪5,,,,,,1001,,10,,8,15,10,5,,,
黄土之阵小怪6,10116,小怪6,,,,,,1001,,10,,8,15,10,5,,,
黄土之阵精英1,10171,精英1,,,,,,7001,,10,,8,15,10,5,,,
黄土之阵精英2,10172,精英2,,,,,,7001,,10,,8,15,10,5,,,
黄土之阵boss1,10191,黄土阵灵,黄土阵灵,B0003,B0003,,head_2039,9001,30020,10,,10,15,10,5,,,240
,,,,,,,,,,,,,,,,,,
赤火之阵小怪1,10211,牛头,牛头,Z0007,Z0007,,head_2041,1002,1002,10,,8,15,10,5,,,178
赤火之阵小怪2,10212,马面,马面,Z0006,Z0006,,head_2042,1002,1002,10,,8,15,10,5,,,200
赤火之阵小怪3,10213,小怪3,,,,,,1002,,10,,8,15,10,5,,,
赤火之阵小怪4,10214,小怪4,,,,,,1002,,10,,8,15,10,5,,,
赤火之阵小怪5,10215,小怪5,,,,,,1002,,10,,8,15,10,5,,,
赤火之阵小怪6,10216,小怪6,,,,,,1002,,10,,8,15,10,5,,,
赤火之阵精英1,10271,精英1,,,,,,7002,,10,,8,15,10,5,,,
赤火之阵精英2,10272,精英2,,,,,,7002,,10,,8,15,10,5,,,
赤火之阵boss1,10291,赤火阵灵,赤火守卫,C0002,C0002,,head_2033,9002,10027,10,,10,15,10,5,,,265
,,,,,,,,,,,,,,,,,,
黑水之阵小怪1,10311,双锤鱼精,双锤鱼精,Z0024,Z0024,,,1003,1002,10,,8,15,10,5,,,175
黑水之阵小怪2,10312,绿色虾兵,绿色虾兵,Z0036,Z0036,,,1003,1002,10,,8,15,10,5,,,160
黑水之阵小怪3,10313,天兵C,,,,,,1003,,10,,8,15,10,5,,,
黑水之阵小怪4,10314,天兵D,,,,,,1003,,10,,8,15,10,5,,,
黑水之阵小怪5,10315,小怪5,,,,,,1003,,10,,8,15,10,5,,,
黑水之阵小怪6,10316,小怪6,,,,,,1003,,10,,8,15,10,5,,,
黑水之阵精英1,10371,精英1,,,,,,7003,,10,,8,15,10,5,,,
黑水之阵精英2,10372,精英2,,,,,,7003,,10,,8,15,10,5,,,
黑水之阵boss1,10391,黑水阵灵,黑水阵灵,C0003,C0003,,head_2034,9003,10028,10,,10,15,10,5,,,290
,,,,,,,,,,,,,,,,,,
青木之阵小怪1,10411,花妖,花妖,Z0027,Z0027,,,1004,1003,10,,8,15,10,5,,,210
青木之阵小怪2,10412,树精,树精,Z0018,Z0018,,,1004,1002,10,,8,15,10,5,,,220
青木之阵小怪3,10413,小怪3,,,,,,1004,,10,,8,15,10,5,,,
青木之阵小怪4,10414,小怪4,,,,,,1004,,10,,8,15,10,5,,,
青木之阵小怪5,10415,小怪5,,,,,,1004,,10,,8,15,10,5,,,
青木之阵小怪6,10416,小怪6,,,,,,1004,,10,,8,15,10,5,,,
青木之阵精英1,10471,精英1,,,,,,7004,,10,,8,15,10,5,,,
青木之阵精英2,10472,精英2,,,,,,7004,,10,,8,15,10,5,,,
青木之阵boss1,10491,青木阵灵,青木阵灵,C0001,C0001,,head_2032,9004,10026,10,,10,15,10,5,,,198
青木之阵boss2,10492,青木阵灵之黑翼,青木阵灵之黑翼,C0003,C0003,,head_2034,9004,10028,10,,13,15,10,5,,,290
,,,,,,,,,,,,,,,,,,
白金之阵小怪1,10511,天兵4,天兵4,Z0004,Z0004,,,1005,1002,10,,8,15,10,5,,,190
白金之阵小怪2,10512,唐刀官兵,唐刀官兵,Z0031,Z0031,,,1005,1002,10,,8,15,10,5,,,210
白金之阵小怪3,10513,小怪3,,,,,,1005,,10,,8,15,10,5,,,
白金之阵小怪4,10514,小怪4,,,,,,1005,,10,,8,15,10,5,,,
白金之阵小怪5,10515,小怪5,,,,,,1005,,10,,8,15,10,5,,,
白金之阵小怪6,10516,小怪6,,,,,,1005,,10,,8,15,10,5,,,
白金之阵精英1,10571,精英1,,,,,,7005,,10,,8,15,10,5,,,
白金之阵精英2,10572,精英2,,,,,,7005,,10,,8,15,10,5,,,
白金之阵boss1,10591,boss1,,,,,,9005,,10,,8,15,10,5,,,
白金之阵boss2,10592,boss2,,,,,,9005,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
极阴之阵小怪1,10611,狐妖,狐妖,Z0032,Z0032,,,1006,1002,10,,8,15,10,5,,,145
极阴之阵小怪2,10612,骷髅兵,骷髅兵,Z0008,Z0008,,,1006,1002,10,,8,15,10,5,,,200
极阴之阵小怪3,10613,小怪3,,,,,,1006,,10,,8,15,10,5,,,
极阴之阵小怪4,10614,小怪4,,,,,,1006,,10,,8,15,10,5,,,
极阴之阵小怪5,10615,小怪5,,,,,,1006,,10,,8,15,10,5,,,
极阴之阵小怪6,10616,小怪6,,,,,,1006,,10,,8,15,10,5,,,
极阴之阵精英1,10671,精英1,,,,,,7006,,10,,8,15,10,5,,,
极阴之阵精英2,10672,精英2,,,,,,7006,,10,,8,15,10,5,,,
极阴之阵boss1,10691,极阴阵灵,极阴阵灵,S0007,S0007,,head_2022,9006,10006,10,,10,15,10,5,,,450
,,,,,,,,,,,,,,,,,,
极阳之阵小怪1,10711,老道士,老道士,Z0035,Z0035,,,1007,1002,10,,8,15,10,5,,,200
极阳之阵小怪2,10712,唐刀官兵,唐刀官兵,Z0031,Z0031,,,1007,1002,10,,8,15,10,5,,,210
极阳之阵小怪3,10713,小怪3,,,,,,1007,,10,,8,15,10,5,,,
极阳之阵小怪4,10714,小怪4,,,,,,1007,,10,,8,15,10,5,,,
极阳之阵小怪5,10715,小怪5,,,,,,1007,,10,,8,15,10,5,,,
极阳之阵小怪6,10716,小怪6,,,,,,1007,,10,,8,15,10,5,,,
极阳之阵精英1,10771,精英1,,,,,,7007,,10,,8,15,10,5,,,
极阳之阵精英2,10772,精英2,,,,,,7007,,10,,8,15,10,5,,,
极阳之阵boss1,10791,紫霞,紫霞,A0020,A0020,,head_2040,9007,10034,10,,13,15,10,5,,,210
极阳之阵boss2,10792,BOSS2,,,,,,9007,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
