静物500000+,角色ID,角色名,描述,动作,数据,半身像,头像,属性模版ID,AI ID,可碰撞,碰撞大小,可攻击,可破坏,击杀掉落,补品ID,符号显示高度
,id,name,desc,action,data,pic,headpic,attr_id,ai_id,impact,impact_size,fight,wreck,kill_drop_id,tonic_id,mark_height
3次击碎,500001,桶,,,,,,300001,,1,1,0,1,,,
,500002,地刺,,,,,,101,,0,0,1,0,,,
,500003,龙头,,,,,,101,,1,1,1,1,,,
,500004,破败石碑1,,fm1_H02,,,,,,1,1,0,0,,,
,500005,破败石碑2,,fm1_H03,,,,,,1,1,0,0,,,
,500006,破败石碑3,,fm1_H01,,,,,,1,1,0,0,,,
,500007,木桶,,fm1_J01,fm1_J01,,,300001,,1,1,1,1,,,
,500008,传送点,,fm1_J01,,,,,,,,,,,,
,500009,出生点,,fm1_J01,,,,,,,,,,,,
,500015,机关木桶,,fm1_G01,fm1_G01,,,300001,,1,1,1,1,,,
,500016,脚本木桶,,fm1_J01,fm1_J01,,,300001,,1,1,1,1,,,
,,,,,,,,,,,,,,,,
,500101,木桶-可破坏（空）,,FM1_j1,FM1_j1,,,300001,,1,1,1,1,,,
,500102,木桶-可破坏（小）,,FM1_j1,FM1_j1,,,300001,,1,1,1,1,,,
,500103,木桶-可破坏（中）,,FM1_j1,FM1_j1,,,300001,,1,1,1,1,,,
,500104,木桶-可破坏（大）,,FM1_j1,FM1_j1,,,300001,,1,1,1,1,,,
,500105,木桶-可破坏（全）,,FM1_j1,FM1_j1,,,300001,,1,1,1,1,,,
,500106,木箱-可破坏（空）,,FM1_j2,FM1_j2,,,300001,,1,1,1,1,,,
,500107,木箱-可破坏（小）,,FM1_j2,FM1_j2,,,300001,,1,1,1,1,,,
,500108,木箱-可破坏（中）,,FM1_j2,FM1_j2,,,300001,,1,1,1,1,,,
,500109,木箱-可破坏（大）,,FM1_j2,FM1_j2,,,300001,,1,1,1,1,,,
,500110,木箱-可破坏（全）,,FM1_j2,FM1_j2,,,300001,,1,1,1,1,,,
,510111,藤条-可破坏（空）,,FM1_j3,FM1_j3,,,300001,,1,1,1,1,,,
,510112,藤条-可破坏（小）,,FM1_j3,FM1_j3,,,300001,,1,1,1,1,,,
,510113,藤条-可破坏（中）,,FM1_j3,FM1_j3,,,300001,,1,1,1,1,,,
,510114,藤条-可破坏（大）,,FM1_j3,FM1_j3,,,300001,,1,1,1,1,,,
,510115,藤条-可破坏（全）,,FM1_j3,FM1_j3,,,300001,,1,1,1,1,,,
,510116,三木桶-可破坏（空）,,FM1_j4,FM1_j4,,,300001,,1,1,1,1,,,
,500117,三木桶-可破坏（小）,,FM1_j4,FM1_j4,,,300001,,1,1,1,1,,,
,500118,三木桶-可破坏（中）,,FM1_j4,FM1_j4,,,300001,,1,1,1,1,,,
,500119,三木桶-可破坏（大）,,FM1_j4,FM1_j4,,,300001,,1,1,1,1,,,
,500120,三木桶-可破坏（全）,,FM1_j4,FM1_j4,,,300001,,1,1,1,1,,,
,500121,破石碑1,,FM1_h1,,,,,,,,,,,,
,500122,破石碑2,,FM1_h2,,,,,,,,,,,,
,500123,破石碑3,,FM1_h3,,,,,,,,,,,,
,500201,鬼爪灯-可破坏（空）,,FM2_j1,FM2_j1,,,300001,,1,1,1,1,,,
,500202,鬼爪灯-可破坏（小）,,FM2_j1,FM2_j1,,,300001,,1,1,1,1,,,
,500203,鬼爪灯-可破坏（中）,,FM2_j1,FM2_j1,,,300001,,1,1,1,1,,,
,500204,鬼爪灯-可破坏（大）,,FM2_j1,FM2_j1,,,300001,,1,1,1,1,,,
,500205,鬼爪灯-可破坏（全）,,FM2_j1,FM2_j1,,,300001,,1,1,1,1,,,
,500206,尸骨架-可破坏（空）,,FM2_j2,FM2_j2,,,300001,,1,1,1,1,,,
,500207,尸骨架-可破坏（小）,,FM2_j2,FM2_j2,,,300001,,1,1,1,1,,,
,500208,尸骨架-可破坏（中）,,FM2_j2,FM2_j2,,,300001,,1,1,1,1,,,
,500209,尸骨架-可破坏（大）,,FM2_j2,FM2_j2,,,300001,,1,1,1,1,,,
,500210,尸骨架-可破坏（全）,,FM2_j2,FM2_j2,,,300001,,1,1,1,1,,,
,510211,骨头墙壁-可破坏（空）,,FM2_j3,FM2_j3,,,300001,,1,1,1,1,,,
,510212,骨头墙壁-可破坏（小）,,FM2_j3,FM2_j3,,,300001,,1,1,1,1,,,
,510213,骨头墙壁-可破坏（中）,,FM2_j3,FM2_j3,,,300001,,1,1,1,1,,,
,510214,骨头墙壁-可破坏（大）,,FM2_j3,FM2_j3,,,300001,,1,1,1,1,,,
,510215,骨头墙壁-可破坏（全）,,FM2_j3,FM2_j3,,,300001,,1,1,1,1,,,
,510216,鬼火,,FM2_h1,,,,,,,,,,,,
,500301,琉璃盏-可破坏（空）,,FM3_j1,FM3_j1,,,300001,,1,1,1,1,,,
,500302,琉璃盏-可破坏（小）,,FM3_j1,FM3_j1,,,300001,,1,1,1,1,,,
,500303,琉璃盏-可破坏（中）,,FM3_j1,FM3_j1,,,300001,,1,1,1,1,,,
