策划备注名,章节ID,章节名,描述,背景图,所含副本
,id,name,desc,pic,dungeon_id
,0,阴阳五行阵,亦幻亦真，亦虚亦实。归路何处，白云深深。,gonghuiboss,101~102~103~104~105~106~107
,1,傲来战天军,灵根孕育源流出，心性修持大道生。难解俗世兄弟义，遥赴名山共战神。,1,1001~1002~1003~1004~1005~1006~1007~1008~1009~1010~1011~1012
,2,地府勾姓名,四海千山皆拱伏，九幽十类尽除名。梦索真魂惹一怒，痛杀阎罗十万兵。,2,2001~2002~2003~2004~2005~2006~2007~2008
,3,桀骜闹天宫,醉仙酒大圣偷丹，反天宫诸神捉怪。游八卦翻倒三昧，闹南天生死成悬。,3,3001~3002~3003~3004~3005~3006~3007~3008~3009~3010~3011~3012~3013~3014~3015~3016~3017~3018~3019~3020
,4,五行解金帖,唐玄奘遇难山岭，孙悟空终逢佛缘。何以释百载孤寂，解金帖六字真言。,4,4001~4002~4003~4004~4005~4006~4007~4008
,5,智斗黑风怪,观音院僧谋奇宝，黑风山怪窃袈裟。除先锋以图后计，扮道子金丹成劫。,5,5001~5002~5003~5004~5005~5006~5007~5008
,6,逢缘收二徒,草衬玉骢蹄迹软，天色将晚至人家。仗义除魔云栈洞，喜获新徒高老庄。,6,6001~6002~6003~6004~6005~6006~6007~6008~6009~6010~6011~6012
,7,坎途降风怪,路遇奇山妖风起，吹沙隐蕴猛虎息。黄雾层叠拥天险，定风神珠破困局。,7,7001~7002~7003~7004~7005~7006~7007~7008
,8,翻搅流沙河,八百恶浪流沙界，三千狂澜弱水深。此去无舟何以渡，恰因仙缘得三徒。,8,8001~8002~8003~8004~8005~8006~8007~8008
,9,身陷五庄观,万寿山大仙留友，五庄观行者窃参。凭意气断送灵物，解命局玉露兰芝。,9,9001~9002~9003~9004~9005~9006~9007~9008
,10,分道白骨庄,森然鬼宅白骨隐，粉衫尸魔戏圣僧。仁厚慈心反为孽，三藏一怒逐悟空。,10,10001~10002~10003~10004~10005~10006~10007~10008
,11,平妖波月洞,黑松林三藏逢魔，波月洞沙僧遭难。忧西行路途艰险，遣木母万里求援。,11,11001~11002~11003~11004~11005~11006~11007~11008
,12,智取莲花洞,山行险处知有难，仗义西行勇为先。劫取秘宝噬其主，金银双角命交连。,12,12001~12002~12003~12004~12005~12006~12007~12008~12009~12010~12011~12012~12013~12014~12015~12016
,13,壮志降魔狮,游僧秉月论佛禅，鬼王夜谒陈冤情。晖晖帝王沉石下，昭昭天理明殿堂。,13,13001~13002~13003~13004~13005~13006~13007~13008~13009~13010~13011~13012
,14,恶斗圣婴王,九霄红云妖踪匿，枯松涧底真火藏。强袭三昧斗龙雨，巧避毒烟败妖王。,14,14001~14002~14003~14004~14005~14006~14007~14008
