备注,等级,积分,物品,铜钱,金币,灵力,声望
,level,score,item,copper,gold,wakan,prestige
,1,100,,65000,0,2600,0
,2,300,,80000,0,3200,0
,3,600,,95000,0,3800,0
,4,1000,,110000,0,4400,0
,5,1500,,125000,0,5000,0
,6,2100,,140000,0,5600,0
,7,2800,,155000,0,6200,0
,8,3600,,170000,0,6800,0
,9,4500,,185000,0,7400,0
,10,5500,,200000,0,8000,0
,11,6600,,215000,0,8600,0
,12,7800,,230000,0,9200,0
,13,9100,,245000,0,9800,0
,14,10500,,260000,0,10400,0
,15,12000,,275000,0,11000,0
,16,13600,,290000,0,11600,0
,17,15300,,305000,0,12200,0
,18,17100,,320000,0,12800,0
,19,19000,,335000,0,13400,0
,20,21000,,350000,0,14000,0
,21,23100,,365000,0,14600,0
,22,25300,,380000,0,15200,0
,23,27600,,395000,0,15800,0
,24,30000,,410000,0,16400,0
,25,32500,,425000,0,17000,0
,26,35100,,440000,0,17600,0
,27,37800,,455000,0,18200,0
,28,40600,,470000,0,18800,0
,29,43500,,485000,0,19400,0
,30,46500,,500000,0,20000,0
,31,49600,,515000,0,20600,0
,32,52800,,530000,0,21200,0
,33,56100,,545000,0,21800,0
,34,59500,,560000,0,22400,0
,35,63000,,575000,0,23000,0
,36,66600,,590000,0,23600,0
,37,70300,,605000,0,24200,0
,38,74100,,620000,0,24800,0
,39,78000,,635000,0,25400,0
,40,82000,,650000,0,26000,0
,41,86100,,665000,0,26600,0
,42,90300,,680000,0,27200,0
,43,94600,,695000,0,27800,0
,44,99000,,710000,0,28400,0
,45,103500,,725000,0,29000,0
,46,108100,,740000,0,29600,0
,47,112800,,755000,0,30200,0
,48,117600,,770000,0,30800,0
,49,122500,,785000,0,31400,0
,50,127500,,800000,0,32000,0
,51,132600,,815000,0,32600,0
,52,137800,,830000,0,33200,0
,53,143100,,845000,0,33800,0
,54,148500,,860000,0,34400,0
,55,154000,,875000,0,35000,0
,56,159600,,890000,0,35600,0
,57,165300,,905000,0,36200,0
,58,171100,,920000,0,36800,0
,59,177000,,935000,0,37400,0
,60,183000,,950000,0,38000,0
,61,189100,,965000,0,38600,0
,62,195300,,980000,0,39200,0
,63,201600,,995000,0,39800,0
,64,208000,,1010000,0,40400,0
,65,214500,,1025000,0,41000,0
,66,221100,,1040000,0,41600,0
,67,227800,,1055000,0,42200,0
,68,234600,,1070000,0,42800,0
,69,241500,,1085000,0,43400,0
,70,248500,,1100000,0,44000,0
,71,255600,,1115000,0,44600,0
,72,262800,,1130000,0,45200,0
,73,270100,,1145000,0,45800,0
,74,277500,,1160000,0,46400,0
,75,285000,,1175000,0,47000,0
,76,292600,,1190000,0,47600,0
,77,300300,,1205000,0,48200,0
,78,308100,,1220000,0,48800,0
,79,316000,,1235000,0,49400,0
,80,324000,,1250000,0,50000,0
,81,332100,,1265000,0,50600,0
,82,340300,,1280000,0,51200,0
,83,348600,,1295000,0,51800,0
,84,357000,,1310000,0,52400,0
,85,365500,,1325000,0,53000,0
,86,374100,,1340000,0,53600,0
,87,382800,,1355000,0,54200,0
,88,391600,,1370000,0,54800,0
,89,400500,,1385000,0,55400,0
,90,409500,,1400000,0,56000,0
,91,418600,,1415000,0,56600,0
,92,427800,,1430000,0,57200,0
,93,437100,,1445000,0,57800,0
,94,446500,,1460000,0,58400,0
,95,456000,,1475000,0,59000,0
,96,465600,,1490000,0,59600,0
,97,475300,,1505000,0,60200,0
,98,485100,,1520000,0,60800,0
,99,495000,,1535000,0,61400,0
,100,0,,1550000,0,62000,0
