策划备注,连杀,奖励积分
,combo,score_reward
,1,10
,2,11
,3,12
,4,13
,5,14
,6,15
,7,15
,8,15
,9,15
,10,20
,11,20
,12,20
,13,20
,14,20
,15,25
,16,25
,17,25
,18,25
,19,25
,20,30
,21,30
,22,30
,23,30
,24,30
,25,30
,26,30
,27,30
,28,30
,29,30
,30,35
,31,35
,32,35
,33,35
,34,35
,35,35
,36,35
,37,35
,38,35
,39,35
,40,40
,41,40
,42,40
,43,40
,44,40
,45,40
,46,40
,47,40
,48,40
,49,40
,50,40
,51,40
,52,40
,53,40
,54,40
,55,40
,56,40
,57,40
,58,40
,59,40
,60,45
,61,45
,62,45
,63,45
,64,45
,65,45
,66,45
,67,45
,68,45
,69,45
,70,45
,71,45
,72,45
,73,45
,74,45
,75,45
,76,45
,77,45
,78,45
,79,45
,80,50
,81,50
,82,50
,83,50
,84,50
,85,50
,86,50
,87,50
,88,50
,89,50
,90,50
,91,50
,92,50
,93,50
,94,50
,95,50
,96,50
,97,50
,98,50
,99,50
,100,50
