策划备注名,数据名,子物体,特效
,data_id,sub_element,sub_effect
猴子,CHAR01,ble_CHAR01_E19_1~CHAR01_E19_2~ble_CHAR01_E20_2~change_E_1~fangfabao,ble_CHAR01_E10_1~ble_CHAR01_E11_1~ble_CHAR01_E12_1~ble_CHAR01_E13_1~ble_CHAR01_E15_1~ble_CHAR01_E16_1~CHAR01_E16_2~CHAR01_E17_1~ble_CHAR01_E17_2~CHAR01_E17_3~ble_CHAR01_E18_1~CHAR01_E18_2~ble_CHAR01_E20_1~CHAR01_E20_3
修罗,CHAR02,CHAR02_E13_3~CHAR02_E15_1~CHAR02_E16_4~CHAR02_E19_3~CHAR02_E19_4~CHAR02_E19_5~CHAR02_E20_3~change_E_1~fangfabao,CHAR02_E10_1~CHAR02_E11_1~CHAR02_E12_1~ble_CHAR02_E13_1~CHAR02_E13_2~CHAR02_E16_1~ble_CHAR02_E16_2~CHAR02_E16_3~CHAR02_E16_5~CHAR02_E17_1~ble_CHAR02_E17_2~CHAR02_E17_3~CHAR02_E17_4~CHAR02_E18_1~ble_CHAR02_E19_1~CHAR02_E19_2~ble_CHAR02_E20_1~CHAR02_E20_2~CHAR02_E20_4
龙女,CHAR03,CHAR03_E13_2~CHAR03_E18_2~CHAR03_E19_1~CHAR03_E20_1~CHAR03_E20_2~change_E_1~fangfabao,CHAR03_E10_1~CHAR03_E11_1~CHAR03_E12_1~CHAR03_E13_1~CHAR03_E15_1~CHAR03_E16_1~CHAR03_E16_2~CHAR03_E17_1~CHAR03_E17_2~CHAR03_E18_1
罗刹,CHAR04,CHAR04_E16_3~CHAR04_E17_2~CHAR04_E18_1~CHAR04_E19_2~CHAR04_E19_3~CHAR04_E19_4~CHAR04_E20_3~CHAR04_E20_5~change_E_1~fangfabao,CHAR04_E10_1~CHAR04_E11_1~CHAR04_E12_1~CHAR04_E12_2~CHAR04_E13_1~CHAR04_E15_1~CHAR04_E16_1~CHAR04_E16_2~CHAR04_E17_1~CHAR04_E19_1~CHAR04_E20_1~CHAR04_E20_2~CHAR04_E20_4~CHAR04_E20_6~CHAR04_E20_7~CHAR04_E20_8
,,,
天兵1,Z0001,,Z0001_E10_1
天兵2,Z0002,,Z0002_E10_1
天兵3,Z0003,,Z0003_E10_1~Z0003_E10_2
天兵4,Z0004,,Z0004_E10_1
鬼卒,Z0005,,Z0005_E10_1
马面,Z0006,,Z0006_E10_1~Z0006_E10_2
牛头,Z0007,,Z0007_E10_1~Z0007_E10_2
骷髅怪,Z0008,,Z0008_E10_1
双板斧强盗,Z0009,,ble_Z0009_E10_1~ble_Z0009_E10_2
长弓恶霸,Z0010,Z0010_E10_2,Z0010_E10_1
长枪刀牛精,Z0011,,Z0011_E10_1
熊精,Z0012,,Z0012_E10_1
蛇精,Z0013,Z0013_E10_1,
八爪鱼精,Z0014,,Z0014_E10_1~Z0014_E10_2
铁叉蝙蝠精,Z0015,,Z0015_E10_1
猪妖,Z0016,,Z0016_E10_1~Z0016_E10_2
道士1,Z0017,,Z0017_E10_1
树根怪,Z0018,,Z0018_E10_1~Z0018_E10_2
螳螂精,Z0019,,Z0019_E10_1
狼精,Z0020,,Z0020_E10_1
灵童小妖,Z0021,,ble_Z0021_E10_1
石怪,Z0022,,ble_Z0022_E10_1~ble_Z0022_E10_2
长剑虾兵,Z0023,,Z0023_E10_1
双锤鱼精,Z0024,,Z0024_E10_1~Z0024_E10_2
蟹将,Z0025,,Z0025_E10_1~Z0025_E10_2~Z0025_E10_3
