策划备注,掉落组ID,猴子,重楼,龙女,白骨
,id,1,2,3,4
1级白武器,5003100,5003101,5003102,5003103,5003104
10绿,5022100,5022101,5022102,5022103,5022104
20绿,5042100,5042101,5042102,5042103,5042104
20蓝,5043100,5043101,5043102,5043103,5043104
30绿,5062100,5062101,5062102,5062103,5062104
30蓝,5063100,5063101,5063102,5063103,5063104
40蓝,5083100,5083101,5083102,5083103,5083104
40紫,5084100,5084101,5084102,5084103,5084104
50蓝,5103100,5103101,5103102,5103103,5103104
50紫,5104100,5104101,5104102,5104103,5104104
60紫,5124100,5124101,5124102,5124103,5124104
60橙,5125100,5125101,5125102,5125103,5125104
70紫,5144100,5144101,5144102,5144103,5144104
70橙,5145100,5145101,5145102,5145103,5145104
80橙,5165100,5165101,5165102,5165103,5165104
80金,5166100,5166101,5166102,5166103,5166104
90橙,5185100,5185101,5185102,5185103,5185104
90金,5186100,5186101,5186102,5186103,5186104
100金,5206100,5206101,5206102,5206103,5206104
100红,5207100,5207101,5207102,5207103,5207104
110金,5226100,5226101,5226102,5226103,5226104
110红,5227100,5227101,5227102,5227103,5227104
120红,5247100,5247101,5247102,5247103,5247104
130红,5267100,5267101,5267102,5267103,5267104
140红,5287100,5287101,5287102,5287103,5287104
150红,5307100,5307101,5307102,5307103,5307104
