策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,任务显示需求(已接 可交 已完成）,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格id,关底boss限时
,id,name,desc,chapter_id,town_id,first_scene,pic,type,unlock_level,unlock_dungeon,unlock_task,action_expend,hang_time,team_time,hang_gold,cop_reward,exp_reward,wakan_reward,talisman_chip_reward,first_item_reward,item_reward,dungeon_drop,drop_show,intimacy_demon,cards1_drop,cards1_num,every_cards1_weight,cards2_drop,cards2_num,every_cards2_weight,cards3_drop,cards3_num,every_cards3_weight,cards_price,last_boss,finish_boss,time_score,hp_score,combo_score,hurt_score,hp_boss,num_gold_price,finish_boss_limit_time
,201001,魔王多闻天王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B000[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,20100101,1009,3,30,0,400001,15,900,1800,30,13475,5390,4851,,,,,1000007~1000004~5063101~5063102~5063103~5063104~5063010~5063020~5063030~5063050~5063060~5063070~5063080~5063090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21060,6,100,22060,8,40,23060,4,5,0~10~20~40~60~80,20100181~20100182~20100191,20100191,600,0.5,200,0.3,20000,2,300
,201002,魔王雷公,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B001[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,20100201,1012,3,35,201001,400002,15,900,1800,30,14850,5940,5346,,,,,1000007~1000004~5063101~5063102~5063103~5063104~5063010~5063020~5063030~5063050~5063060~5063070~5063080~5063090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21070,6,100,22070,8,40,23070,4,5,0~10~20~40~60~80,20100281~20100282~20100291,20100291,600,0.5,200,0.3,20000,2,300
,201003,魔王阎王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B002[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,20100301,2008,3,40,201002,400003,15,900,1800,30,16225,6490,5841,,,,,1000007~1000004~5084101~5084102~5084103~5084104~5084010~5084020~5084030~5084050~5084060~5084070~5084080~5084090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21080,6,100,22080,8,40,23080,4,5,0~10~20~40~60~80,20100382~20100383~20100391,20100391,600,0.5,200,0.3,50000,2,300
,201004,魔王哪吒,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B003[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,20100401,3015,3,45,201003,400004,15,900,1800,30,17600,7040,6336,,,,,1000007~1000004~5084101~5084102~5084103~5084104~5084010~5084020~5084030~5084050~5084060~5084070~5084080~5084090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21090,6,100,22090,8,40,23090,4,5,0~10~20~40~60~80,20100481~20100482~20100483~20100491,20100491,600,0.5,300,0.3,50000,2,300
,201005,魔王李靖,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B004[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,20100501,3018,3,50,201004,400005,15,900,1800,30,18975,7590,6831,,,,,1000007~1000004~5104101~5104102~5104103~5104104~5104010~5104020~5104030~5104050~5104060~5104070~5104080~5104090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21100,6,100,22100,8,40,23100,4,5,0~10~20~40~60~80,20100581~20100582~20100583~20100584~20100591,20100591,600,0.5,300,0.3,50000,3,300
,202001,魔王二郎神,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B005[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,20200101,3020,3,55,201005,400006,15,900,1800,30,20350,8140,7326,,,,,1000007~1000004~5104101~5104102~5104103~5104104~5104010~5104020~5104030~5104050~5104060~5104070~5104080~5104090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21110,6,100,22110,8,40,23110,4,5,0~10~20~40~60~80,20200181~20200182~20200183~20200184~20200191,20200191,600,0.5,300,0.3,50000,3,300
,202002,魔王寅将军,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B006[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,20200201,4001,3,60,202001,400007,15,900,1800,30,21725,8690,7821,,,,,1000007~1000004~5125101~5125102~5125103~5125104~5125010~5125020~5125030~5125050~5125060~5125070~5125080~5125090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21120,6,100,22120,8,40,23120,4,5,0~10~20~40~60~80,20200282~20200283~20200291,20200291,600,0.5,400,0.3,50000,3,300
,202003,魔王熊罴精,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B007[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,20200301,5008,3,65,202002,400008,15,900,1800,30,23100,9240,8316,,,,,1000007~1000004~5125101~5125102~5125103~5125104~5125010~5125020~5125030~5125050~5125060~5125070~5125080~5125090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21130,6,100,22130,8,40,23130,4,5,0~10~20~40~60~80,20200381~20200382~20200383~20200384~20200391,20200391,600,0.5,400,0.3,100000,3,300
,202004,魔王猪刚鬣,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B008[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,20200401,6012,3,70,202003,400009,15,900,1800,30,24475,9790,8811,,,,,1000007~1000004~5145101~5145102~5145103~5145104~5145010~5145020~5145030~5145050~5145060~5145070~5145080~5145090~1000500~1000504~1000501~3010005~3020005~3030005~3050005~3060005~3010004~3020004~3030004~3050004~3060004~3010003~3020003~3030003~3050003~3060003~3010002~3020002~3030002~3050002~3060002,50,21140,6,100,22140,8,40,23140,4,5,0~10~20~40~60~80,20200481~20200482~20200483~20200484~20200491,20200491,600,0.5,400,0.3,100000,4,300
