策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,任务显示需求(已接 可交 已完成）,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格,关底boss限时
,id,name,desc,chapter_id,town_id,first_scene,pic,type,unlock_level,unlock_dungeon,unlock_task,action_expend,hang_time,team_time,hang_gold,cop_reward,exp_reward,wakan_reward,talisman_chip_reward,first_item_reward,item_reward,dungeon_drop,drop_show,intimacy_demon,cards1_drop,cards1_num,every_cards1_weight,cards2_drop,cards2_num,every_cards2_weight,cards3_drop,cards3_num,every_cards3_weight,cards_price,last_boss,finish_boss,time_score,hp_score,combo_score,hurt_score,hp_boss,num_gold_price,finish_boss_limit_time
,101001,精英巨灵神,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B000[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,10100101,1004,2,13,0,10061,10,600,1800,20,2900,1160,1044,,,,,1000006~1000005~5043101~5043102~5043103~5043104~5043010~5043020~5043030~5043050~5043060~5043070~5043080~5043090~1000500~1000504~1000501,50,11020,4,0,12020,3,0,50,1,1000000,0~5~10~15~20~25,10100191,10100191,240,0.5,100,0.25,10000,1,180
,101002,精英持国天王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B001[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,10100201,1008,2,16,101001,10081,10,600,1800,20,3500,1400,1260,,,,,1000006~1000005~5043101~5043102~5043103~5043104~5043010~5043020~5043030~5043050~5043060~5043070~5043080~5043090~1000500~1000504~1000501,50,11020,4,0,12020,3,0,51,1,1000000,0~5~10~15~20~25,10100291,10100291,240,0.5,100,0.25,10000,1,180
,101003,精英多闻天王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B002[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,10100301,1009,2,18,101002,10111,10,600,1800,20,3900,1560,1404,,,,,1000006~1000005~5043101~5043102~5043103~5043104~5043010~5043020~5043030~5043050~5043060~5043070~5043080~5043090~1000500~1000504~1000501,50,11020,4,0,12020,3,0,52,1,1000000,0~5~10~15~20~25,10100391,10100391,240,0.5,100,0.25,20000,1,180
,101004,精英雷公,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B003[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,10100401,1012,2,21,101003,10152,10,600,1800,20,4200,1680,1512,,,,,1000006~1000005~5043101~5043102~5043103~5043104~5043010~5043020~5043030~5043050~5043060~5043070~5043080~5043090~1000500~1000504~1000501,50,11020,4,0,12020,3,0,53,1,1000000,0~5~10~15~20~25,10100491,10100491,240,0.5,150,0.25,20000,1,180
,101005,精英判官,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B004[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,10100501,2005,2,26,101004,20071,10,600,1800,20,4500,1800,1620,,,,,1000006~1000005~5043101~5043102~5043103~5043104~5043010~5043020~5043030~5043050~5043060~5043070~5043080~5043090~1000500~1000504~1000501,50,11020,4,0,12020,3,0,54,1,1000000,0~5~10~15~20~25,10100591,10100591,240,0.5,150,0.25,20000,1,180
,101006,精英阎王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B005[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,1,10100601,2008,2,30,101005,20111,10,600,1800,20,4900,1960,1764,,,,,1000006~1000005~5063101~5063102~5063103~5063104~5063010~5063020~5063030~5063050~5063060~5063070~5063080~5063090~1000500~1000504~1000501,50,11030,3,0,12030,3,40,13030,2,5,0~5~10~15~20~25,10100691,10100691,240,0.5,150,0.25,20000,2,180
,101007,精英增长天王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B006[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,10100701,1006,2,33,101006,300007,10,600,1800,20,5200,2080,1872,,,,,1000006~1000005~5063101~5063102~5063103~5063104~5063010~5063020~5063030~5063050~5063060~5063070~5063080~5063090~1000500~1000504~1000501,50,11030,3,100,12030,3,40,13030,2,5,0~5~10~15~20~25,10100791,10100791,240,0.5,200,0.25,20000,2,180
,101008,精英广目天王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B007[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,10100801,1005,2,36,101007,300008,10,600,1800,20,5500,2200,1980,,,,,1000006~1000005~5063101~5063102~5063103~5063104~5063010~5063020~5063030~5063050~5063060~5063070~5063080~5063090~1000500~1000504~1000501,50,11030,3,100,12030,3,40,13030,2,5,0~5~10~15~20~25,10100891,10100891,240,0.5,200,0.25,20000,2,180
,101009,精英哪吒,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B008[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,10100901,3015,2,40,101008,300009,10,600,1800,20,5900,2360,2124,,,,,1000006~1000005~5084101~5084102~5084103~5084104~5084010~5084020~5084030~5084050~5084060~5084070~5084080~5084090~1000500~1000504~1000501,50,11040,3,100,12040,3,40,13040,2,5,0~5~10~15~20~25,10100991,10100991,240,0.5,200,0.25,20000,2,180
