策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,（废弃）任务需求,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格,关底boss限时
,id,name,desc,chapter_id,town_id,first_scene,pic,type,unlock_level,unlock_dungeon,unlock_task,action_expend,hang_time,team_time,hang_gold,cop_reward,exp_reward,wakan_reward,talisman_chip_reward,first_item_reward,item_reward,dungeon_drop,drop_show,intimacy_demon,cards1_drop,cards1_num,every_cards1_weight,cards2_drop,cards2_num,every_cards2_weight,cards3_drop,cards3_num,every_cards3_weight,cards_price,last_boss,finish_boss,time_score,hp_score,combo_score,hurt_score,hp_boss,num_gold_price,finish_boss_limit_time
,1001,初探奇山,[C]0xffcc00[/C]金币[C/][BR][C]0x00B000[/C]星石[BR]斗魂贡品[C/]等,1,1,100101,1003,1,10,0,,5,300,1800,10,575,230,207,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,1002,再试身手,[C]0xffcc00[/C]金币[C/][BR][C]0x00B001[/C]星石[BR]斗魂贡品[C/]等,1,1,100201,9005,1,11,1001,,5,300,1800,10,625,250,225,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,1003,解救猕猴,[C]0xffcc00[/C]金币[C/][BR][C]0x00B002[/C]星石[BR]斗魂贡品[C/]等,1,1,100301,8,1,12,1002,,5,300,1800,10,675,270,243,,1001000|1,,,,50,,,,,,,,,,,100371,100371,60,0.5,50,0.25,5000,,
,1004,先锋大将,[C]0xffcc00[/C]金币[C/][BR][C]0x00B003[/C]星石[BR]斗魂贡品[C/]等,1,1,100401,1004,1,13,1003,,5,300,1800,10,725,290,261,,1001000|1,,,,50,,,,,,,,,,,100491,100491,60,0.5,50,0.25,5000,,
,1005,天将何在,[C]0xffcc00[/C]金币[C/][BR][C]0x00B004[/C]星石[BR]斗魂贡品[C/]等,1,1,100501,1003,1,14,1004,,5,300,1800,10,775,310,279,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,1006,持国天王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B005[/C]星石[BR]斗魂贡品[C/]等,1,1,100601,1008,1,15,1005,,5,300,1800,10,825,330,297,,1001000|1,,,,50,,,,,,,,,,,100691,100691,60,0.5,50,0.25,5000,,
,1007,逆战而上,[C]0xffcc00[/C]金币[C/][BR][C]0x00B006[/C]星石[BR]斗魂贡品[C/]等,1,1,100701,1007,1,16,1006,,5,300,1800,10,875,350,315,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,1008,营救俘虏,[C]0xffcc00[/C]金币[C/][BR][C]0x00B007[/C]星石[BR]斗魂贡品[C/]等,1,1,100801,9,1,17,1007,,5,300,1800,10,900,360,324,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,1009,多闻天王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B008[/C]星石[BR]斗魂贡品[C/]等,1,1,100901,1009,1,18,1008,,5,300,1800,10,925,370,333,,1001000|1,,,,50,,,,,,,,,,,100991,100991,60,0.5,50,0.25,5000,,
,1010,持兵登顶,[C]0xffcc00[/C]金币[C/][BR][C]0x00B009[/C]星石[BR]斗魂贡品[C/]等,1,1,101001,1010,1,19,1009,,5,300,1800,10,950,380,342,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,1011,大杀四方,[C]0xffcc00[/C]金币[C/][BR][C]0x00B010[/C]星石[BR]斗魂贡品[C/]等,1,1,101101,1011,1,20,1010,,5,300,1800,10,975,390,351,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
