策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,（废弃）任务需求,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格,关底boss限时
,id,name,desc,chapter_id,town_id,first_scene,pic,type,unlock_level,unlock_dungeon,unlock_task,action_expend,hang_time,team_time,hang_gold,cop_reward,exp_reward,wakan_reward,talisman_chip_reward,first_item_reward,item_reward,dungeon_drop,drop_show,intimacy_demon,cards1_drop,cards1_num,every_cards1_weight,cards2_drop,cards2_num,every_cards2_weight,cards3_drop,cards3_num,every_cards3_weight,cards_price,last_boss,finish_boss,time_score,hp_score,combo_score,hurt_score,hp_boss,num_gold_price,finish_boss_limit_time
,101,黄土之阵,,0,99,1101,1,6,1,,,5,1,1,1,100,50,36,,1001000|1,,,,10,,,,,,,,,,,10191,10191,120,0.3,50,0.25,1000,,
,102,赤火之阵,,0,99,1102,5,6,2,101,,5,1,1,1,140,70,50,,1001000|1,,,,10,,,,,,,,,,,10291,10291,120,0.3,50,0.25,1000,,
,103,黑水之阵,,0,99,1103,3,6,3,102,,5,1,1,1,180,90,65,,1001000|1,,,,10,,,,,,,,,,,,,120,0.3,50,0.25,1000,,
,104,青木之阵,,0,99,1104,6,6,5,103,,5,1,1,1,260,130,94,,1001000|1,,,,10,,,,,,,,,,,10492,10492,120,0.3,50,0.25,1000,,
,105,白金之阵,,0,99,1105,9002,6,6,104,,5,1,1,1,300,150,108,,1001000|1,,,,10,,,,,,,,,,,,,120,0.3,50,0.25,1000,,
,106,极阴之阵,,0,99,1106,10008,6,8,105,,5,1,1,1,380,190,137,,1001000|1,,,,10,,,,,,,,,,,10691,10691,120,0.3,50,0.25,1000,,
,107,极阳之阵,,0,99,1107,7,6,9,106,,5,1,1,1,420,210,151,,1001000|1,,,,10,,,,,,,,,,,10791,10791,120,0.3,50,0.25,1000,,
,300101,虚灵幻境,,999,,1111,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,100111,100111,,,,,10000,,
,300102,虚空幻境,,999,,1112,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,100111,100111,,,,,10000,,
,300103,虚明幻境,,999,,1113,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,100111,100111,,,,,10000,,
