等级,经验（上限经验）
level,exp
1,770
2,1860
3,3260
4,4990
5,7040
6,9440
7,12140
8,15140
9,18540
10,22240
11,26340
12,30740
13,35640
14,40840
15,46440
16,52440
17,58640
18,65040
19,71640
20,78540
21,85640
22,92940
23,100440
24,108240
25,116240
26,124440
27,132940
28,141640
29,150540
30,167240
31,184340
32,201840
33,219740
34,238040
35,263340
36,289240
37,315640
38,342540
39,370040
40,406540
41,444840
42,485040
43,527140
44,571140
45,617940
46,666840
47,717840
48,771040
49,826340
50,895140
51,962240
52,1032340
53,1105440
54,1181640
55,1262740
56,1347140
57,1434840
58,1525940
59,1620440
60,1725440
61,1839440
62,1961440
63,2092440
64,2232440
65,2385440
66,2547440
67,2719440
68,2901440
69,3092440
70,3300440
71,3518440
72,3747440
73,3986440
74,4236440
75,4505440
76,4786440
77,5078440
78,5382440
79,5698440
80,6134440
81,6700440
82,7406440
83,8262440
84,9278440
85,10464440
86,11830440
87,13386440
88,15142440
89,17108440
90,19294440
91,21710440
92,24366440
93,27272440
94,30438440
95,33874440
,37590440
,41596440
,45902440
,50518440
,55454440
,60720440
,66326440
,72282440
,78598440
,85284440
,92350440
,99806440
,107662440
,115928440
,124614440
,133730440
,143286440
,153292440
,163758440
,174694440
,186110440
,198016440
,210422440
,223338440
,236774440
,250740440
,265246440
,280302440
,295918440
,312104440
,328870440
,346226440
,364182440
,382748440
,401934440
,421750440
,442206440
,463312440
,485078440
,507514440
,530630440
,554436440
,578942440
,604158440
,630094440
,656760440
,684166440
,712322440
,741238440
,770924440
,801390440
,832646440
,864702440
,897568440
,931254440
,965770440
,1001126440
,1037332440
,1074398440
,1112334440
,1151150440
,1190856440
,1231462440
,1272978440
,1315414440
,1358780440
,1403086440
,1448342440
,1494558440
,1541744440
,1589910440
,1639066440
,1689222440
,1740388440
,1792574440
,1845790440
,1900046440
,1955352440
,2011718440
,2069154440
,2127670440
,2187276440
