技能ID,技能名,文件名,类名,动作名称,动作对应的ID,初始坐标(X~Y~Z）,触发次数,持续时间,X速度,Y速度,Z速度,判定刷新频率,物体类型,目标类型0自己 1敌人 2敌人群体,有无数据文件,层级,文字动画,延迟出现
id,name,fileId,className,actionName,actionId,position,triggerNum,duration,speedX,speedY,speedZ,checkRectGap,type,born_type,hasDataFile,layer,mc,delayShow
100001,巨灵神,FB0015,cha_FB0015,cha,0,0~0~0,,,,,,,0,0,1,-1,,
100002,黄风怪,FB0015,cha_FB0015,cha,0,0~0~0,,,,,,,0,0,1,-1,,
100003,镇元子,FB0005,cha_FB0005,cha,0,0~0~0,,,,,,,0,2,1,-1,,
100004,多闻天王,FB0013,cha_FB0013,cha,0,0~0~0,,,,,,,0,0,1,-1,,
100005,阎王,FB0004,cha_FB0004,cha,0,0~0~0,,,,,,,0,0,1,-1,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
200001,放狼,FB0015,cha_FB0015,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200002,放风,FB0015,cha_FB0015,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200003,放猴子,FB0015,cha_FB0015,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200004,放蛇,A0003_E17_1,cha_A0003_E17_1,cha,0,0~0~0,,,,,,,0,1,1,-1,,
200005,冰扇,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200006,火扇,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200007,无影刀,FB0024,cha_FB0024,cha,0,0~0~0,,,,,,,0,2,1,-1,,
200008,突木桩,FB0022,cha_FB0022,cha,0,0~0~0,,,,,,,0,2,1,-1,,
200009,寒冰掌,FB0023,cha_FB0023,cha,0,0~0~0,,,,,,,0,0,1,-1,,
210010,天罡火1,FB0021_1,cha_FB0021_1,cha,0,0~0~0,,,,,,,0,0,1,-1,,0
220010,天罡火2,FB0021_2,cha_FB0021_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,6
230010,天罡火3,FB0021_3,cha_FB0021_3,cha,0,0~0~0,,,,,,,0,0,1,-1,,12
240010,天罡火4,FB0021_4,cha_FB0021_4,cha,0,0~0~0,,,,,,,0,0,1,-1,,18
250010,天罡火5,FB0021_5,cha_FB0021_5,cha,0,0~0~0,,,,,,,0,0,1,-1,,24
200011,地煞功,FB0020,cha_FB0020,cha,0,0~0~0,,,,,,,0,2,1,-1,,
200012,托塔,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200013,照妖镜,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200014,辟火罩儿,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200015,五彩仙衣,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200016,宣花斧,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200017,电符,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200018,宝葫芦,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200019,辟水珠,A0011_E16_2,cha_A0011_E16_2,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200020,释厄剑,FB0028,cha_FB0028,cha,0,0~100~0,,,,,,,0,0,1,-1,,
200021,雷电戟,FB0025,cha_FB0025,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200022,玄冰斧,FB0026,cha_FB0026,cha,0,0~120~0,,,,,,,0,0,1,-1,,
200023,火云刀,FB0027_1,cha_FB0027_1,cha,0,150~0~0,,,,,,,0,0,1,-1,,
200024,金刚咒,A0011_E16_2,cha_FB0027_6,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200025,混天绫,A0011_E16_2,cha_FB0027_7,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200026,火尖枪,A0011_E16_2,cha_FB0027_8,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200027,风火轮,A0011_E16_2,cha_FB0027_9,cha,0,0~0~0,,,,,,,0,0,1,-1,,
