宝石等级,类型1,类型2,类型3,类型4,类型5,类型6
gen_level,1,2,3,4,5,6
1,20,40,60,100,200,600
2,50,90,140,250,500,1800
3,90,160,260,500,1000,4200
4,140,260,440,900,1850,8400
5,200,400,700,1500,3250,15000
6,270,590,1060,2350,5450,24600
7,350,840,1540,3500,8750,37800
8,440,1160,2160,5000,13500,55200
9,540,1560,2940,6900,20100,77400
10,650,2050,3900,9250,29000,105000
11,770,2640,5060,12100,40700,138600
12,900,3340,6440,15500,55750,178800
13,1040,4160,8060,19500,74750,226200
14,1190,5110,9940,24150,98350,281400
15,1350,6200,12100,29500,127250,345000
16,1520,7440,14560,35600,162200,417600
17,1700,8840,17340,42500,204000,499800
18,1890,10410,20460,50250,253500,592200
19,2090,12160,23940,58900,311600,695400
20,2300,14100,27800,68500,379250,810000
21,2520,16240,32060,79100,457450,936600
22,2750,18590,36740,90750,547250,1075800
23,2990,21160,41860,103500,649750,1228200
24,3240,23960,47440,117400,766100,1394400
25,3500,27000,53500,132500,897500,1575000
26,3770,30290,60060,148850,1045200,1770600
27,4050,33840,67140,166500,1210500,1981800
28,4340,37660,74760,185500,1394750,2209200
29,4640,41760,82940,205900,1599350,2453400
30,4950,46150,91700,227750,1825750,2715000
