备注,显示顺序,提示ID,名字（最多10字）,功能节点
,id,prompt_id,name,openterm
竞技场系统,1,9,竞技场次数购买,15
竞技场系统,2,10,竞技场失败冷却,15
竞技场系统,3,11,竞技场刷新冷却,15
体力系统,4,12,体力购买,22
背包,5,1,开启背包格,22
宝石系统,6,13,金币探索,2
宝石经验购买,7,25,宝石经验购买,2
摇钱树,8,3,摇钱树,16
打财神,9,6,打财神冷却,17
洗练系统,10,4,随机洗练,4
洗练系统,11,5,定向洗练,4
公会系统,12,15,公会金币捐献,14
公会系统,13,16,公会祭天,14
公会系统,14,17,积分boss购买buff,14
签到系统,15,21,累计签到补签,20
每日任务系统,16,22,每日任务刷新,12
每日任务系统,17,23,每日任务立即完成,12
跨服竞技场,18,24,跨服竞技场次数购买,12
精英本金币翻牌,19,28,精英本金币翻牌,18
魔王本金币翻牌,20,29,魔王本金币翻牌,19
精英本次数购买,21,30,精英本次数购买,18
魔王本次数购买,22,31,魔王本次数购买,19
扫荡立即完成,23,32,扫荡立即完成,32
金币购买翅膀残片,24,33,金币购买翅膀残片,36
金币购买突破丹,25,34,金币购买突破丹,26
