策划备注,等级,公会等级限制,生命属性,生命花费,攻击属性,攻击花费,防御属性,防御花费,格挡属性,格挡花费,暴击属性,暴击花费,魂力属性,魂力花费
,level,guild_level_limit,attr_1,expend_1,attr_2,expend_2,attr_3,expend_3,attr_4,expend_4,attr_5,expend_5,attr_6,expend_6
,1,1,100,50,10,50,10,50,10,75,10,100,2,150
,2,1,200,70,20,70,20,70,20,105,20,140,4,210
,3,1,300,100,30,100,30,100,30,150,30,200,6,300
,4,1,400,140,40,140,40,140,40,210,40,280,8,420
,5,1,500,190,50,190,50,190,50,285,50,380,10,570
,6,2,600,250,60,250,60,250,60,375,60,500,12,750
,7,2,700,320,70,320,70,320,70,480,70,640,14,960
,8,2,800,400,80,400,80,400,80,600,80,800,16,1200
,9,2,900,490,90,490,90,490,90,735,90,980,18,1470
,10,2,1000,590,100,590,100,590,100,885,100,1180,20,1770
,11,3,1100,700,110,700,110,700,110,1050,110,1400,22,2100
,12,3,1200,820,120,820,120,820,120,1230,120,1640,24,2460
,13,3,1300,950,130,950,130,950,130,1425,130,1900,26,2850
,14,3,1400,1090,140,1090,140,1090,140,1635,140,2180,28,3270
,15,3,1500,1241,150,1241,150,1241,150,1862,150,2482,30,3723
,16,4,1600,1404,160,1404,160,1404,160,2106,160,2808,32,4212
,17,4,1700,1580,170,1580,170,1580,170,2370,170,3160,34,4740
,18,4,1800,1770,180,1770,180,1770,180,2655,180,3540,36,5310
,19,4,1900,1975,190,1975,190,1975,190,2963,190,3950,38,5925
,20,4,2000,2196,200,2196,200,2196,200,3294,200,4392,40,6588
,21,5,2100,2434,210,2434,210,2434,210,3651,210,4868,42,7302
,22,5,2200,2690,220,2690,220,2690,220,4035,220,5380,44,8070
,23,5,2300,2965,230,2965,230,2965,230,4448,230,5930,46,8895
,24,5,2400,3260,240,3260,240,3260,240,4890,240,6520,48,9780
,25,5,2500,3577,250,3577,250,3577,250,5366,250,7154,50,10731
,26,6,2600,3919,260,3919,260,3919,260,5879,260,7838,52,11757
,27,6,2700,4290,270,4290,270,4290,270,6435,270,8580,54,12870
,28,6,2800,4695,280,4695,280,4695,280,7043,280,9390,56,14085
,29,6,2900,5140,290,5140,290,5140,290,7710,290,10280,58,15420
,30,6,3000,5632,300,5632,300,5632,300,8448,300,11264,60,16896
,31,7,3100,6179,310,6179,310,6179,310,9269,310,12358,62,18537
,32,7,3200,6790,320,6790,320,6790,320,10185,320,13580,64,20370
,33,7,3300,7475,330,7475,330,7475,330,11213,330,14950,66,22425
,34,7,3400,8245,340,8245,340,8245,340,12368,340,16490,68,24735
,35,7,3500,9112,350,9112,350,9112,350,13668,350,18224,70,27336
,36,8,3600,10089,360,10089,360,10089,360,15134,360,20178,72,30267
,37,8,3700,11190,370,11190,370,11190,370,16785,370,22380,74,33570
,38,8,3800,12430,380,12430,380,12430,380,18645,380,24860,76,37290
,39,8,3900,13825,390,13825,390,13825,390,20738,390,27650,78,41475
,40,8,4000,15392,400,15392,400,15392,400,23088,400,30784,80,46176
,41,9,4100,17149,410,17149,410,17149,410,25724,410,34298,82,51447
,42,9,4200,19115,420,19115,420,19115,420,28673,420,38230,84,57345
,43,9,4300,21310,430,21310,430,21310,430,31965,430,42620,86,63930
,44,9,4400,23755,440,23755,440,23755,440,35633,440,47510,88,71265
,45,9,4500,26472,450,26472,450,26472,450,39708,450,52944,90,79416
,46,10,4600,29484,460,29484,460,29484,460,44226,460,58968,92,88452
,47,10,4700,32815,470,32815,470,32815,470,49223,470,65630,94,98445
,48,10,4800,36490,480,36490,480,36490,480,54735,480,72980,96,109470
,49,10,4900,40535,490,40535,490,40535,490,60803,490,81070,98,121605
,50,10,5000,44977,500,44977,500,44977,500,67466,500,89954,100,134931
,51,11,5100,49844,510,49844,510,49844,510,74766,510,99688,102,149532
,52,11,5200,55165,520,55165,520,55165,520,82748,520,110330,104,165495
,53,11,5300,60970,530,60970,530,60970,530,91455,530,121940,106,182910
,54,11,5400,67290,540,67290,540,67290,540,100935,540,134580,108,201870
,55,11,5500,74157,550,74157,550,74157,550,111236,550,148314,110,222471
