策划备注,妖魂ID,索引,按键,映射,动作ID,前置状态,技能ID,
,tid,index,keyStr,keyInt,actionId,preState,skillid,
哪吒普攻,1001,0,J,4,10,1~2~14,1000610,
哪吒技能1,1001,1,U,8,16,1~2~8~14,1000616,
哪吒技能2,1001,2,I,6,17,1~2~8~14,1000617,
哪吒技能3,1001,3,O,7,18,1~2~8~14,1000618,
哪吒技能4,1001,4,L,10,19,1~2~8~14,1000619,
,,,,,,,,
雷公普攻,1002,0,J,4,10,1~2~14,19000110,
雷公技能1,1002,1,U,8,16,1~2~8~14,19000116,
雷公技能2,1002,2,I,6,17,1~2~8~14,19000117,
雷公技能3,1002,3,O,7,18,1~2~8~14,19000118,
雷公技能4,1002,4,L,10,19,1~2~8~14,19000119,
,,,,,,,,
金角普攻1,1003,0,J,4,10,1~2~14,19000810,
金角普攻2,1003,1,J,4,11,8,19000811,
金角技能1,1003,2,U,8,16,1~2~8~14,19000816,
金角技能2,1003,3,I,6,17,1~2~8~14,19000817,
金角技能3,1003,4,O,7,18,1~2~8~14,19000818,
金角技能4,1003,5,L,10,19,1~2~8~14,19000819,
,,,,,,,,
二郎神普攻1,1004,0,J,4,10,1~2~14,19000210,二郎神普攻1
二郎神普攻2,1004,1,J,4,11,8,19000211,二郎神普攻2
二郎神升龙击,1004,2,U,8,16,1~2~8~14,19000216,二郎神升龙击
二郎神召唤,1004,3,I,6,17,1~2~8~14,19000217,二郎神召唤
二郎神天眼,1004,4,O,7,18,1~2~8~14,19000218,二郎神天眼
二郎神变鹰,1004,5,L,10,19,1~2~8~14,19000219,二郎神变鹰
,,,,,,,,
白骨普攻1,1005,0,J,4,10,1~2~14,19000710,白骨普攻1
白骨普攻2,1005,1,J,4,11,8,19000711,白骨普攻2
白骨傀儡连击,1005,2,U,8,16,1~2~8~14,19000716,白骨傀儡连击
白骨傀儡斜下攻击,1005,3,I,6,17,1~2~8~14,19000717,白骨傀儡斜下攻击
白骨傀儡升龙击,1005,4,O,7,18,1~2~8~14,19000718,白骨傀儡升龙击
白骨全屏攻击,1005,5,L,10,19,1~2~8~14,19000719,白骨全屏攻击
,,,,,,,,
黄袍怪普攻1,1006,0,J,4,10,1~2~14,1001210,黄袍怪普攻1
黄袍怪普攻2,1006,1,J,4,11,8,1001211,黄袍怪普攻2
霸刀之道,1006,2,U,8,16,1~2~8~14,1001216,霸刀之道
劈山三式,1006,3,I,6,17,1~2~8~14,1001217,劈山三式
狂狼傲天,1006,4,O,7,18,1~2~8~14,1001218,狂狼傲天
,,,,,,,,
持国天王,1007,0,J,4,10,1~2~14,1000110,
,1007,1,U,8,16,1~2~8~14,1000116,
,1007,2,I,6,17,1~2~8~14,1000117,
,,,,,,,,
增长天王,1008,0,J,4,10,1~2~14,1000210,
,1008,1,U,8,16,1~2~8~14,1000216,
,1008,2,I,6,17,1~2~8~14,1000217,
,,,,,,,,
广目天王,1009,0,J,4,10,1~2~14,1000310,
,1009,1,U,8,16,1~2~8~14,1000316,
,1009,2,I,6,17,1~2~8~14,1000317,
,,,,,,,,
多闻天王,1010,0,J,4,10,1~2~14,1000410,
,1010,1,U,8,16,1~2~8~14,1000416,
,1010,2,I,6,17,1~2~8~14,1000417,
,1010,3,O,7,18,1~2~8~14,1000418,
,,,,,,,,
李靖,1011,0,J,4,10,1~2~14,1000710,
,1011,1,U,8,16,1~2~8~14,1000716,
,1011,2,I,6,17,1~2~8~14,1000717,
,1011,3,O,7,18,1~2~8~14,1000718,
,,,,,,,,
寅将军,1012,0,J,4,10,1~2~14,1000810,
,1012,1,J,4,11,8,1000811,
,1012,2,U,8,16,1~2~8~14,1000816,
,1012,3,I,6,17,1~2~8~14,1000817,
,1012,4,O,7,18,1~2~8~14,1000818,
,,,,,,,,
熊罴怪,1013,0,J,4,10,1~2~14,1001010,
,1013,1,J,4,11,8,1001011,
,1013,2,U,8,16,1~2~8~14,1001016,
,1013,3,I,6,17,1~2~8~14,1001017,
,1013,4,O,7,18,1~2~8~14,1001018,
,,,,,,,,
黄风怪,1014,0,J,4,10,1~2~14,1001110,
,1014,1,U,8,16,1~2~8~14,1001116,
,1014,2,I,6,17,1~2~8~14,1001117,
,1014,3,O,7,18,1~2~8~14,1001118,
,,,,,,,,
红孩儿,1015,0,J,4,10,1~2~14,1001310,
,1015,1,U,8,16,1~2~8~14,1001316,
,1015,2,I,6,17,1~2~8~14,1001317,
,1015,3,O,7,18,1~2~8~14,1001318,
,,,,,,,,
银角,1016,0,J,4,10,1~2~14,1001910,
,1016,1,J,4,11,8,1001911,
,1016,2,U,8,16,1~2~8~14,1001916,
,1016,3,I,6,17,1~2~8~14,1001917,
,1016,4,O,7,18,1~2~8~14,1001918,
,1016,5,L,10,19,1~2~8~14,1001919,
,,,,,,,,
阎王,1017,0,J,4,10,1~2~14,19000310,
,1017,1,U,8,16,1~2~8~14,19000316,
,1017,2,I,6,17,1~2~8~14,19000317,
,,,,,,,,
沙僧,1018,0,J,4,10,1~2~14,19000510,
,1018,1,J,4,11,8,19000511,
,1018,2,U,8,16,1~2~8~14,19000516,
,1018,3,I,6,17,1~2~8~14,19000517,
,1018,4,O,7,18,1~2~8~14,19000518,
,1018,5,L,10,19,1~2~8~14,19000519,
,,,,,,,,
镇元子,1019,0,J,4,10,1~2~14,19000610,
,1019,1,U,8,16,1~2~8~14,19000616,
,1019,2,I,6,17,1~2~8~14,19000617,
,1019,3,O,7,18,1~2~8~14,19000618,
,1019,4,L,10,19,1~2~8~14,19000619,
,,,,,,,,
猪刚鬣,1020,0,J,4,10,1~2~14,19000410,
,1020,1,U,8,16,1~2~8~14,19000416,
,1020,2,I,6,17,1~2~8~14,19000417,
,1020,3,O,7,18,1~2~8~14,19000418,
,1020,4,L,10,19,1~2~8~14,19000419,
,,,,,,,,
青狮,1024,0,J,4,10,1~2~14,2000210,
,1024,1,J,4,11,8,2000211,
,1024,2,U,8,16,1~2~8~14,2000216,
,1024,3,I,6,17,1~2~8~14,2000217,
,,,,,,,,
嫦娥,1025,0,J,4,10,1~2~14,19001110,
,1025,1,J,4,11,8,19001111,
,1025,2,U,8,16,1~2~8~14,19001116,
,1025,3,I,6,17,1~2~8~14,19001117,
,1025,4,O,7,18,1~2~8~14,19001118,
,1025,5,L,10,19,1~2~8~14,19001119,
,,,,,,,,
红狮子,1026,0,J,4,10,1~2~14,2000310,
,1026,1,J,4,11,8,2000311,
,1026,2,U,8,16,1~2~8~14,2000316,
,1026,3,I,6,17,1~2~8~14,2000317,
,,,,,,,,
紫霞,1027,0,J,4,10,1~2~14,1002010,
,1027,1,U,8,16,1~2~8~14,1002016,
,1027,2,I,6,17,1~2~8~14,1002017,
,1027,3,O,7,18,1~2~8~14,1002018,
