策划备注名,级别ID,所需经验,树等级铜钱参数,玩家等级铜钱参数,摇钱树图片
,tree_level,exp,tree_level_copper_parameter,user_level_copper_parameter,money_tree_page
,1,100,40000,1000,1
,2,400,42000,1000,1
,3,1100,44000,1000,1
,4,2400,46000,1000,2
,5,4500,48000,1000,2
,6,7600,50000,1000,2
,7,11900,52000,1000,3
,8,17600,54000,1000,3
,9,24900,56000,1000,3
,10,34000,58000,1000,3
,11,45100,60000,1000,3
,12,58400,62000,1000,3
,13,74100,64000,1000,3
,14,92400,66000,1000,3
,15,113500,68000,1000,3
,16,137600,70000,1000,3
,17,164900,72000,1000,3
,18,195600,74000,1000,3
,19,229900,76000,1000,3
,20,268000,78000,1000,3
,21,310100,80000,1000,3
,22,356400,82000,1000,3
,23,407100,84000,1000,3
,24,462400,86000,1000,3
,25,522500,88000,1000,3
,26,587600,90000,1000,3
,27,657900,92000,1000,3
,28,733600,94000,1000,3
,29,814900,96000,1000,3
,30,,98000,1000,3
