类型,玩家等级,任务状态 1可交 2可接 3已接 4完成,任务id,介绍,名字
type,level,state,taskid,desc,
23,1,,,恭喜开启技能功能,技 能
22,1,,,恭喜开启角色功能,角色
26,,3,2012,恭喜开启斗魂功能,斗魂
8,20,,,恭喜开启排行功能,排行
11,1,,,恭喜开启活跃度功能,活跃度
20,1,,,恭喜开启签到功能,签到
25,1,,,恭喜开启祝福功能,祝福
27,1,,,恭喜开启VIP充值功能,VIP充值
28,1,,,恭喜开启累计充值功能,累计充值
29,1,,,恭喜开启计时礼包功能,计时礼包
30,1,,,恭喜开启首冲活动功能,首冲活动
31,1,,,恭喜开启开服活动功能,开服活动
35,1,,,恭喜开启百万铜钱功能,百万铜钱
1,,3,20031,恭喜开启装备强化功能,强化 传承
17,,4,2009,恭喜开启打财神功能,打财神
9,,3,400001,恭喜开启副本组队功能,组队
16,,3,20032,恭喜开启摇钱树功能,摇钱树
10,100,,,恭喜开启法宝功能,法宝
34,20,,,恭喜开启龙宫寻宝功能,龙宫寻宝
18,,3,10061,恭喜开启精英副本功能,精英本
7,21,,,恭喜开启好友功能,好友
15,,1,30021,恭喜开启竞技场功能,竞技场
19,,4,400000,恭喜开启魔王副本功能,魔王本
2,,3,20041,恭喜开启宝石探索功能,宝石探索
3,,3,20041,恭喜开启镶嵌功能,镶嵌
12,,4,3007,恭喜开启每日任务功能,每日任务
13,,3,30071,恭喜开启跨服PK功能,跨服PK
21,35,,,恭喜开启世界boss功能,世界boss
32,38,,,恭喜开启副本挂机功能,副本挂机
4,38,,,恭喜开启洗练功能,洗练
14,36,,,恭喜开启公会功能,公会
36,,1,10071,恭喜开启神翼功能,翅膀
37,10,,,,成就
38,11,,,,世界地图按钮
39,18,,,18级开启自动挂机功能,战斗界面挂机按钮
40,10,,,,左侧快捷栏
41,,3,10151,,翅膀强化
42,100,,,,登录器下载
43,100,,,,七日登陆奖
