名字,,值
name,type,value
公会八强战开始时刻（不可改）,guild_war_start_8,1~16:00:00
公会四强战开始时刻（不可改）,guild_war_start_4,1~16:15:00
公会决赛开始时刻（不可改）,guild_war_start_2,1~16:30:00
,,
积分boss 开启时间（星期几）,score_world_boss_start,1~2~3~4~5~6~7
,,
公会战报名持续时间,guild_war_ready_time,60
公会战进入场景时间,guild_war_fight_ready_time,60
公会战持续时间（不可改）,guild_war_continue_time,600
公会战单局战斗时间,guild_war_fight_time,120
公会战积分 核算时间（不可改）,guild_war_score_check,71400
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
公会战人数,guild_war_people_num,10
冠军奖励,guild_war_reward1,10|1000001~7|1000~5|6000
冠军会长奖励,guild_war_leader_reward1,10|1000001~7|1000~5|6000
亚军奖励,guild_war_reward2,10|1000001~7|1000~5|6001
亚军会长奖励,guild_war_leader_reward2,10|1000001~7|1000~5|6001
四强奖励,guild_war_reward4,10|1000001~7|1000~5|6002
四强会长奖励,guild_war_leader_reward4,10|1000001~7|1000~5|6002
八强奖励,guild_war_reward8,10|1000001~7|1000~5|6003
八强会长奖励,guild_war_leader_reward8,10|1000001~7|1000~5|6003
,,
对对碰单人胜利奖励,guild_war_winner_reward,1|1000~7|10
,,
公会boss时间,guild_boss_times,12:00:00~12:30:00~13:00:00~13:30:00~14:00:00~14:30:00~15:00:00~15:30:00~16:00:00~16:30:00~17:00:00~17:30:00~18:00:00~18:30:00~19:00:00~19:30:00~20:00:00~20:30:00~21:00:00~21:30:00~22:00:00
