策划备注名,关卡ID,关卡名,描述,地图名,等待读秒时间,刷怪顺序
,id,name,desc,map_id,,
,1001,工会场景,,,,
,1002,世界boss场景,,SJBOSS,,
,1003,积分boss场景,,JFBOSS,,
,1004,公会boss场景,,GHBOSS,,
,1005,打财神场景,,DCS,,
,1006,竞技场,,JJC,,
,1007,跨服竞技场,,KFJJC,,
,1008,公会对对碰,,GHZ,,
,1009,工会单挑,,GHDT,,
,1101,黄土之阵,,XSYD-1,,
,1102,赤火之阵,,XSYD-2,,
,1103,黑水之阵,,XSYD-3,,
,1104,青木之阵,,XSYD-4,,
,1105,白金之阵,,XSYD-7,,
,1106,极阴之阵,,XSYD-5,,
,1107,极阳之阵,,XSYD-6,,
,1111,虚灵幻境,,YHYD,,
,1112,虚空幻境,,FBYD,,
,1113,虚明幻境,,WSYD,,
,10000,新手村,,XSC,,
,10001,花果山,,HGS,,
,10002,长安城,,CAC,,
,10003,车迟国,,CCG,,
,10004,通灵幻境,,TLHJ,,
,100101,初探奇山,,HGS-1,,
,100201,再试身手,,HGS-2,,
,100301,解救猕猴,,HGS-3,,
,100401,先锋大将,,HGS-4,,
,100501,天将何在,,HGS-5,,
,100601,持国天王,,HGS-6,,
,100701,逆战而上,,HGS-7,,
,100801,营救俘虏,,HGS-8,,
,100901,多闻天王,,HGS-9,,
,101001,持兵登顶,,HGS-10,,
,101101,大杀四方,,HGS-11,,
,101201,勇战雷公,,HGS-12,,
,200101,勾魂使者,,DF-1,,
,200201,强闯地府,,DF-2,,
,200301,牛头马面,,DF-3,,
,200401,幽冥之守,,DF-4,,
,200501,生死判官,,DF-5,,
,200601,步步深入,,DF-6,,
,200701,森罗之途,,DF-7,,
,200801,一笔勾销,,DF-8,,
,300101,酒香飘然,,TG-1,,
,300201,藏酒之处,,TG-2,,
,300301,酒窖守卫,,TG-3,,
,300401,受困窖中,,TG-4,,
,300501,增长天王,,TG-5,,
,300601,丹炉守卫,,TG-6,,
,300701,再战雷公,,TG-7,,
,300801,脱身兜率,,TG-8,,
,300901,巨神临门,,TG-9,,
,301001,天庭血路,,TG-10,,
,301101,前后挟击,,TG-11,,
,301201,广目天王,,TG-12,,
,301301,通园小径,,TG-13,,
,301401,重重围堵,,TG-14,,
,301501,太子哪吒,,TG-15,,
,301601,突破重围,,TG-16,,
,301701,逃出生天,,TG-17,,
,301801,托塔天王,,TG-18,,
,301901,围困之兵,,TG-19,,
,302001,二郎真君,,TG-20,,
,400101,崎岖山岭,,SCL-1,,
,400201,五行山下,,SCL-2,,
,400301,五行山顶,,SCL-3,,
,400401,双叉横桥,,SCL-4,,
,400501,拦路劫盗,,SCL-5,,
,400601,横桥尽头,,SCL-6,,
,400701,岭上寻虎,,SCL-7,,
,400801,力敌虎精,,SCL-8,,
,500101,古刹禅房,,GYS-1,,
,500201,取回袈裟,,GYS-2,,
,500301,翻查佛寺,,GYS-3,,
,500401,循迹追踪,,GYS-4,,
,500501,追索袈裟,,GYS-5,,
,500601,作势佯攻,,GYS-6,,
,500701,御前先锋,,GYS-7,,
,500801,智斗熊精,,GYS-8,,
,600101,荒野山庄,,GLZ-1,,
,600201,黑雾深处,,GLZ-2,,
,600301,险洞寻妖,,GLZ-3,,
,600401,幽暗所在,,GLZ-4,,
,600501,铁叉蝠王,,GLZ-5,,
,600601,回护山庄,,GLZ-6,,
,600701,驱赶猪魔,,GLZ-7,,
,600801,大闹妖窟,,GLZ-8,,
,600901,负隅而抗,,GLZ-9,,
,601001,乌合之妖,,GLZ-10,,
,601101,四散而逃,,GLZ-11,,
,601201,降服猪妖,,GLZ-12,,
,700101,险峻山下,,HFL-1,,
,700201,奇山妖风,,HFL-2,,
,700301,威威虎息,,HFL-3,,
,700401,风中寻影,,HFL-4,,
,700501,妖门叫阵,,HFL-5,,
,700601,掠杀之虎,,HFL-6,,
,700701,黄沙掩目,,HFL-7,,
,700801,降服风怪,,HFL-8,,
,800101,恶水拦道,,LSH-1,,
,800201,寻妖渡河,,LSH-2,,
,800301,矮脚鱼精,,LSH-3,,
,800401,浑波涌浪,,LSH-4,,
,800501,搅乱河府,,LSH-5,,
,800601,再诱河妖,,LSH-6,,
,800701,入河寻妖,,LSH-7,,
,800801,自投罗网,,LSH-8,,
,900101,棍打仙果,,WZG-1,,
,900201,道房取物,,WZG-2,,
,900301,妙手取宝,,WZG-3,,
,900401,对峙园中,,WZG-4,,
,900501,毁树除根,,WZG-5,,
,900601,斩尽树灵,,WZG-6,,
,900701,匆匆而逃,,WZG-7,,
,900801,镇元大仙,,WZG-8,,
,1000101,森然之地,,BGD-1,,
,1000201,白骨废庄,,BGD-2,,
,1000301,度化魂灵,,BGD-3,,
,1000401,破土寻踪,,BGD-4,,
,1000501,窃窃哭声,,BGD-5,,
,1000601,寒境幽深,,BGD-6,,
,1000701,鬼影现形,,BGD-7,,
,1000801,白骨夫人,,BGD-8,,
,1100101,忧心前路,,BYD-1,,
,1100201,一探宝塔,,BYD-2,,
,1100301,相救唐僧,,BYD-3,,
,1100401,居后掠阵,,BYD-4,,
,1100501,回援沙僧,,BYD-5,,
,1100601,殷勤相嘱,,BYD-6,,
,1100701,联袂而作,,BYD-7,,
,1100801,奎木星宿,,BYD-8,,
,1200101,暗随八戒,,LHD-1,,
,1200201,路寻木母,,LHD-2,,
,1200301,驱逐群妖,,LHD-3,,
,1200401,莲花洞窟,,LHD-4,,
,1200501,斩获法宝,,LHD-5,,
,1200601,改装易容,,LHD-6,,
,1200701,潜入妖穴,,LHD-7,,
,1200801,劫掠净瓶,,LHD-8,,
,1200901,听风得讯,,LHD-9,,
,1201001,杀妖取宝,,LHD-10,,
,1201101,灭绝群妖,,LHD-11,,
,1201201,临危生变,,LHD-12,,
,1201301,扫退追兵,,LHD-13,,
,1201401,智取银角,,LHD-14,,
,1201501,解救唐僧,,LHD-15,,
,1201601,金银同归,,LHD-16,,
,1300101,皇城谜梦,,WJG-1,,
,1300201,扰乱护卫,,WJG-2,,
,1300301,闲人东引,,WJG-3,,
,1300401,园内寻尸,,WJG-4,,
,1300501,四处搜索,,WJG-5,,
,1300601,井下玄机,,WJG-6,,
,1300701,避而疾走,,WJG-7,,
,1300801,打退亲军,,WJG-8,,
,1300901,破石碎阵,,WJG-9,,
,1301001,青狮道人,,WJG-10,,
,1301101,怒杀回殿,,WJG-11,,
,1301201,斩妖除魔,,WJG-12,,
,1400101,红云疑窦,,HYD-1,,
,1400201,妖踪何处,,HYD-2,,
,1400301,循向而寻,,HYD-3,,
,1400401,枯松涧下,,HYD-4,,
,1400501,叫阵妖王,,HYD-5,,
,1400601,退避真火,,HYD-6,,
,1400701,求助龙雨,,HYD-7,,
,1400801,乘隙得偿,,HYD-8,,
,,,,,,
,10100101,精英巨灵神,,JYJLS,,
,10100201,精英雷公,,JYLG,,
,10100301,精英判官,,JYPG,,
,10100401,精英阎王,,JYYW,,
,10100501,精英广目天王,,JYJM,,
,10100601,精英增长天王,,JYZZ,,
,10100701,精英持国天王,,JYCG,,
,10100801,精英多闻天王,,JYDW,,
,10100901,精英哪吒,,JYNZ,,
,10101001,精英李靖,,JYLJ,,
,10101101,精英二郎神,,JYELS,,
,10200101,精英寅将军,,JYYJJ,,
,10200201,精英熊罴精,,JYHXJ,,
,10200301,精英猪魔,,JYZM,,
,10200401,精英猪刚鬣,,JYZGL,,
,10200501,精英黄风怪,,JYHFG,,
,10200601,精英河妖,,JYSS,,
,10200701,精英镇元子,,JYZYZ,,
,10200801,精英白骨精,,JYBGJ,,
,10300101,精英黄袍怪,,JYBYD,,
,10300201,精英九尾妖狐,,JYJW,,
,10300301,精英银角大王,,JYYJ,,
,10300401,精英金角大王,,JYJJ,,
,10300501,精英青狮道人,,JYQS,,
,10300601,精英红孩儿,,JYHHE,,
,,,,,,
,,,,,,
,20100101,魔王多闻天王,,MWGM,,
,20100201,魔王雷公,,MWZZ,,
,20100301,魔王阎王,,MWCG,,
,20100401,魔王哪吒,,MWDW,,
,20100501,魔王李靖,,MWYW,,
,20200101,魔王二郎神,,MWTT,,
,20200201,魔王寅将军,,MWYJJ,,
,20200301,魔王熊罴精,,MWXHG,,
,20200401,魔王猪刚鬣,,MWLG,,
,20200501,魔王河妖,,MWELS,,
,20300101,魔王白骨精,,MWNZ,,
,20300201,魔王黄袍怪,,MWSS,,
,20300301,魔王金角大王,,MWBG,,
,20300401,魔王青狮道人,,MWQS,,
