名字,类型,物品,铜钱,金币,灵力,声望,公会积分
name,type,item,copper,gold,wakan,prestige,score
击杀奖励,killer_reward_100,,800000,0,40000,250,
会长1奖励,chairman_reward_100_1,,1000000,0,50000,400,
会长2奖励,chairman_reward_100_2,,800000,0,40000,300,
会长3奖励,chairman_reward_100_3,,700000,0,35000,200,
击杀奖励积分,score_killer_reward_100,,,,,,2
1排名奖励积分,score_reward_100_1,,,,,,10
2排名奖励积分,score_reward_100_2,,,,,,8
3排名奖励积分,score_reward_100_3,,,,,,6
4排名奖励积分,score_reward_100_4,,,,,,5
5排名奖励积分,score_reward_100_5,,,,,,4
6排名奖励积分,score_reward_100_6,,,,,,3
7排名奖励积分,score_reward_100_7,,,,,,2
8排名奖励积分,score_reward_100_8,,,,,,1
,,,,,,,
1奖励,reward_100_1,,1300000,0,65000,500,
2奖励,reward_100_2,,1000000,0,50000,350,
3奖励,reward_100_3,,800000,0,40000,250,
4奖励,reward_100_4,,700000,0,35000,200,
5奖励,reward_100_5,,600000,0,30000,195,
6奖励,reward_100_6,,500000,0,25000,190,
7奖励,reward_100_7,,450000,0,22500,185,
8奖励,reward_100_8,,400000,0,20000,180,
9奖励,reward_100_9,,350000,0,17500,175,
10奖励,reward_100_10,,300000,0,15000,170,
11奖励,reward_100_11,,290000,0,14500,165,
12奖励,reward_100_12,,280000,0,14000,160,
13奖励,reward_100_13,,270000,0,13500,155,
14奖励,reward_100_14,,260000,0,13000,150,
15奖励,reward_100_15,,250000,0,12500,145,
16奖励,reward_100_16,,240000,0,12000,140,
17奖励,reward_100_17,,230000,0,11500,135,
18奖励,reward_100_18,,220000,0,11000,130,
19奖励,reward_100_19,,210000,0,10500,125,
20奖励,reward_100_20,,200000,0,10000,120,
21奖励,reward_100_21,,190000,0,9500,115,
22奖励,reward_100_22,,180000,0,9000,110,
23奖励,reward_100_23,,170000,0,8500,105,
24奖励,reward_100_24,,160000,0,8000,100,
25奖励,reward_100_25,,150000,0,7500,95,
26奖励,reward_100_26,,140000,0,7000,90,
27奖励,reward_100_27,,130000,0,6500,85,
28奖励,reward_100_28,,120000,0,6000,80,
29奖励,reward_100_29,,110000,0,5500,75,
30奖励,reward_100_30,,100000,0,5000,70,
