策划备注,卖出物品表 ID,物品ID,购买货币类型,货币数量
,id,itemTemplateID,currencyType,cost
,5,5022101,1,1000
,6,5022102,1,1000
,7,5022103,1,1000
,8,5022104,1,1000
,9,5022010,1,1000
,10,5022020,1,1000
,11,5022030,1,1000
,12,5022040,1,1000
,13,5022050,1,1000
,14,5022060,1,1000
,15,5022070,1,1000
,16,5022080,1,1000
,17,5022090,1,1000
二郎神套,18,6800001,1,1000
巨灵神套,19,6800002,1,1000
雷公套,20,6800003,1,1000
金角套,21,6800004,1,1000
哪吒套,22,6800005,1,1000
白骨精套,23,6800006,1,1000
黄袍怪套,24,6800007,1,1000
持国天王套,25,6800008,1,1000
增长天王套,26,6800009,1,1000
广目天王套,27,6800010,1,1000
多闻天王套,28,6800011,1,1000
李靖套,29,6800012,1,1000
寅将军套,30,6800013,1,1000
熊罴怪套,31,6800014,1,1000
黄风怪套,32,6800015,1,1000
红孩儿套,33,6800016,1,1000
银角套,34,6800017,1,1000
阎王套,35,6800018,1,1000
沙僧套,36,6800019,1,1000
镇元子套,37,6800020,1,1000
猪刚鬣套,38,6800021,1,1000
,,,,
10级绿棍,5022101,5022101,1,1000
10级绿环,5022102,5022102,1,1000
10级绿剑,5022103,5022103,1,1000
10级绿鞭,5022104,5022104,1,1000
10级绿肩膀,5022010,5022010,1,1000
10级绿手套,5022020,5022020,1,1000
10级绿帽子,5022030,5022030,1,1000
10级绿项链,5022040,5022040,1,1000
10级绿衣服,5022050,5022050,1,1000
10级绿裤子,5022060,5022060,1,1000
10级绿鞋子,5022070,5022070,1,1000
10级绿腰带,5022080,5022080,1,1000
10级绿玉佩,5022090,5022090,1,1000
20级蓝棍,5043101,5043101,1,1000
20级蓝环,5043102,5043102,1,1000
20级蓝剑,5043103,5043103,1,1000
20级蓝鞭,5043104,5043104,1,1000
20级蓝肩膀,5043010,5043010,1,1000
20级蓝手套,5043020,5043020,1,1000
20级蓝帽子,5043030,5043030,1,1000
20级蓝项链,5043040,5043040,1,1000
20级蓝衣服,5043050,5043050,1,1000
20级蓝裤子,5043060,5043060,1,1000
20级蓝鞋子,5043070,5043070,1,1000
20级蓝腰带,5043080,5043080,1,1000
20级蓝玉佩,5043090,5043090,1,1000
30级蓝棍,5063101,5063101,1,1000
30级蓝环,5063102,5063102,1,1000
30级蓝剑,5063103,5063103,1,1000
30级蓝鞭,5063104,5063104,1,1000
30级蓝肩膀,5063010,5063010,1,1000
30级蓝手套,5063020,5063020,1,1000
30级蓝帽子,5063030,5063030,1,1000
30级蓝项链,5063040,5063040,1,1000
30级蓝衣服,5063050,5063050,1,1000
30级蓝裤子,5063060,5063060,1,1000
30级蓝鞋子,5063070,5063070,1,1000
30级蓝腰带,5063080,5063080,1,1000
30级蓝玉佩,5063090,5063090,1,1000
40级紫棍,5084101,5084101,1,1000
40级紫环,5084102,5084102,1,1000
40级紫剑,5084103,5084103,1,1000
40级紫鞭,5084104,5084104,1,1000
40级紫肩膀,5084010,5084010,1,1000
40级紫手套,5084020,5084020,1,1000
40级紫帽子,5084030,5084030,1,1000
40级紫项链,5084040,5084040,1,1000
40级紫衣服,5084050,5084050,1,1000
40级紫裤子,5084060,5084060,1,1000
40级紫鞋子,5084070,5084070,1,1000
40级紫腰带,5084080,5084080,1,1000
40级紫玉佩,5084090,5084090,1,1000
50级紫棍,5104101,5104101,1,1000
50级紫环,5104102,5104102,1,1000
50级紫剑,5104103,5104103,1,1000
50级紫鞭,5104104,5104104,1,1000
50级紫肩膀,5104010,5104010,1,1000
50级紫手套,5104020,5104020,1,1000
50级紫帽子,5104030,5104030,1,1000
50级紫项链,5104040,5104040,1,1000
50级紫衣服,5104050,5104050,1,1000
50级紫裤子,5104060,5104060,1,1000
50级紫鞋子,5104070,5104070,1,1000
50级紫腰带,5104080,5104080,1,1000
50级紫玉佩,5104090,5104090,1,1000
60级橙棍,5125101,5125101,1,1000
60级橙环,5125102,5125102,1,1000
60级橙剑,5125103,5125103,1,1000
60级橙鞭,5125104,5125104,1,1000
60级橙肩膀,5125010,5125010,1,1000
60级橙手套,5125020,5125020,1,1000
60级橙帽子,5125030,5125030,1,1000
60级橙项链,5125040,5125040,1,1000
60级橙衣服,5125050,5125050,1,1000
60级橙裤子,5125060,5125060,1,1000
60级橙鞋子,5125070,5125070,1,1000
60级橙腰带,5125080,5125080,1,1000
60级橙玉佩,5125090,5125090,1,1000
70级橙棍,5145101,5145101,1,1000
70级橙环,5145102,5145102,1,1000
70级橙剑,5145103,5145103,1,1000
70级橙鞭,5145104,5145104,1,1000
70级橙肩膀,5145010,5145010,1,1000
70级橙手套,5145020,5145020,1,1000
70级橙帽子,5145030,5145030,1,1000
70级橙项链,5145040,5145040,1,1000
70级橙衣服,5145050,5145050,1,1000
70级橙裤子,5145060,5145060,1,1000
70级橙鞋子,5145070,5145070,1,1000
70级橙腰带,5145080,5145080,1,1000
70级橙玉佩,5145090,5145090,1,1000
80级金棍,5166101,5166101,1,1000
80级金环,5166102,5166102,1,1000
80级金剑,5166103,5166103,1,1000
80级金鞭,5166104,5166104,1,1000
80级金肩膀,5166010,5166010,1,1000
80级金手套,5166020,5166020,1,1000
80级金帽子,5166030,5166030,1,1000
80级金项链,5166040,5166040,1,1000
80级金衣服,5166050,5166050,1,1000
80级金裤子,5166060,5166060,1,1000
80级金鞋子,5166070,5166070,1,1000
80级金腰带,5166080,5166080,1,1000
80级金玉佩,5166090,5166090,1,1000
90级金棍,5186101,5186101,1,1000
90级金环,5186102,5186102,1,1000
90级金剑,5186103,5186103,1,1000
90级金鞭,5186104,5186104,1,1000
90级金肩膀,5186010,5186010,1,1000
90级金手套,5186020,5186020,1,1000
90级金帽子,5186030,5186030,1,1000
90级金项链,5186040,5186040,1,1000
90级金衣服,5186050,5186050,1,1000
90级金裤子,5186060,5186060,1,1000
90级金鞋子,5186070,5186070,1,1000
90级金腰带,5186080,5186080,1,1000
90级金玉佩,5186090,5186090,1,1000
100级红棍,5207101,5207101,1,1000
100级红环,5207102,5207102,1,1000
100级红剑,5207103,5207103,1,1000
100级红鞭,5207104,5207104,1,1000
100级红肩膀,5207010,5207010,1,1000
100级红手套,5207020,5207020,1,1000
100级红帽子,5207030,5207030,1,1000
100级红项链,5207040,5207040,1,1000
100级红衣服,5207050,5207050,1,1000
100级红裤子,5207060,5207060,1,1000
100级红鞋子,5207070,5207070,1,1000
100级红腰带,5207080,5207080,1,1000
100级红玉佩,5207090,5207090,1,1000
