S=19 A=1 B=2 C=3 Z=26   资源名+动作名=技能名,技能ID,技能名,描述 0基础伤害 1物攻% 2技攻% 3法攻% ,图标,小图标,类型,CD时间,动作动画,额外数据ID,升级价格,血消耗,元气消耗,无双消耗,战意消耗,法宝消耗,显示用伤害段,伤害1段 类型,伤害1段 数值,伤害2段 类型,伤害2段 数值,伤害3段 类型,伤害3段 数值,伤害4段 类型,伤害4段 数值,伤害5段 类型,伤害5段 数值,伤害6段 类型,伤害6段 数值,伤害7段 类型,伤害7段 数值,伤害8段 类型,伤害8段 数值
,id,name,desc,ico,ico_small,type,CD,act_id,extra_id,upgrade_price_id,hp_expend,vitality_expend,fatal_expend,warwill_expend,talisman_expend,hurt_desc,hurt_type1,hurt1,hurt_type2,hurt2,hurt_type3,hurt3,hurt_type4,hurt4,hurt_type5,hurt5,hurt_type6,hurt6,hurt_type7,hurt7,hurt_type8,hurt8
,1,法宝1技能,法宝1技能,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,法宝2技能,法宝2技能,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,法宝3技能,法宝3技能,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猴子普攻1,1010,普攻1段,普攻1段,gold,,1,,10,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
猴子普攻2,1011,普攻2段,普攻2段,gold,,1,,11,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
猴子普攻3,1012,普攻3段,普攻3段,gold,,1,,12,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
猴子普攻4,1013,普攻4段,普攻4段,gold,,1,,13,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
猴子跳跃攻击,1015,猴子跳跃攻击,猴子跳跃攻击,gold,,1,,15,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
12hit轮,1016,横荡天下,立身持棍，横行扫荡，所及之处灰飞烟灭，对周身敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]攻击伤害。,skillicon/11.png,skillicon/11_small.png,2,5,16,,1,,40,,,,0|48~1.67|0.0418~0|0~0|0,1,0|48~1.67|0.0418~0|0~0|0,1,0|48~1.67|0.0418~0|0~0|0,,,,,,,,,,,,
前滚翻,1017,扫破千劫,强袭之力一往直前，挟风声，破千军，对敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]攻击伤害。,skillicon/12.png,skillicon/12_small.png,2,5,17,,2,,35,,,,0|64~2.3|0.0575~0|0~0|0,1,0|64~2.3|0.0575~0|0~0|0,1,0|64~2.3|0.0575~0|0~0|0,,,,,,,,,,,,
浮空技,1018,棍挑山河,以棍点地，上踢斜挑，暴起一串烈焰，对敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]攻击伤害。,skillicon/13.png,skillicon/13_small.png,2,5,18,,3,,30,,,,0|126~4.6|0.115~0|0~0|0,1,0|126~4.6|0.115~0|0~0|0,1,0|126~4.6|0.115~0|0~0|0,,,,,,,,,,,,
大猴子,1019,通神巨力,唤醒体内凶性，元神现形，以巨力挥击敌人，造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]攻击的伤害。,skillicon/14.png,skillicon/14_small.png,2,5,19,,4,,35,,,,0|62~2.25|0.0563~0|0~0|0,1,0|62~2.25|0.0563~0|0~0|0,1,0|62~2.25|0.0563~0|0~0|0,,,,,,,,,,,,
猴子无双,1020,天灵归一,激发自身全部潜能，对敌人施以狂风暴雨般的连续打击，造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]攻击的伤害。,skillicon/15.png,skillicon/15_small.png,3,,20,,5,,,1,,,0|84~3|0.075~0|0~0|0,1,0|84~3|0.075~0|0~0|0,1,0|84~3|0.075~0|0~0|0,,,,,,,,,,,,
猴子变身,1048,猴子变身,猴子变身,gold,,1,,48,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,普攻1段,普攻1段,gold,,1,,10,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,2011,普攻2段,普攻2段,gold,,1,,11,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,2012,普攻3段,普攻3段,gold,,1,,12,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,2013,普攻4段,普攻4段,gold,,1,,13,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,2015,修罗跳跃攻击,修罗跳跃攻击,gold,,1,,15,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
疯狂乱戳然后砸地,2016,极地狂斩,手持双剑，狂暴中连挥十二斩，血影破天而起砸落敌身，对敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]攻击伤害。,skillicon/41.png,skillicon/41_small.png,2,5,16,,1,,40,,,,0|52~1.88|0.047~0|0~0|0,1,0|52~1.88|0.047~0|0~0|0,1,0|52~1.88|0.047~0|0~0|0,,,,,,,,,,,,
窜来窜去很帅的样子,2017,剑光一线,仗剑去而复返，回身点地随即抽剑再出，剑光滟滟，进退间迷惑敌人，攻击使敌人受到[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]点攻击伤害。,skillicon/42.png,skillicon/42_small.png,2,5,17,,2,,35,,,,0|56~2|0.05~0|0~0|0,1,0|56~2|0.05~0|0~0|0,1,0|56~2|0.05~0|0~0|0,,,,,,,,,,,,
大大的弧线,2018,魔流擎天,以重剑之力，于旋身滞空之际划出剑影，勾转之际对敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]点攻击伤害。,skillicon/43.png,skillicon/43_small.png,2,5,18,,3,,30,,,,0|126~4.6|0.115~0|0~0|0,1,0|126~4.6|0.115~0|0~0|0,1,0|126~4.6|0.115~0|0~0|0,,,,,,,,,,,,
甩甩甩剑气,2019,残风燎影,在连续快速的攻击后施以重力，残影中，巨剑划地勾起火色漫天袭向敌人，对敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]点攻击伤害。,skillicon/44.png,skillicon/44_small.png,2,5,19,,4,,35,,,,0|48~1.82|0.0455~0|0~0|0,1,0|48~1.82|0.0455~0|0~0|0,1,0|48~1.82|0.0455~0|0~0|0,,,,,,,,,,,,
乱窜然后杀,2020,灭境神杀,迅疾而狂暴的攻击中，剑光隐藏自身，只余万丈杀念冲天而起，遇神杀神，遇魔杀魔，对敌人造成[C]0x00B000[/C]{1}%[C/]+[C]0x00B000[/C]{0}[C/]点攻击伤害。,skillicon/45.png,skillicon/45_small.png,3,,20,,5,,,1,,,0|78~2.8|0.07~0|0~0|0,1,0|78~2.8|0.07~0|0~0|0,1,0|78~2.8|0.07~0|0~0|0,,,,,,,,,,,,
,2048,修罗变身变身,修罗变身变身,gold,,1,,48,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3010,普攻1段,普攻1段,gold,,1,,10,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,3011,普攻2段,普攻2段,gold,,1,,11,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,3012,普攻3段,普攻3段,gold,,1,,12,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,3013,普攻4段,普攻4段,gold,,1,,13,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,3015,龙女跳跃攻击,龙女跳跃攻击,gold,,1,,15,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
倒挂旋风腿,3016,乱舞横波,以双刃交旋之力维身，横波直踢，对周身敌人造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/21.png,skillicon/21_small.png,2,5,16,,1,,40,,,,0|48~1.83|0.0458~0|0~0|0,1,0|48~1.83|0.0458~0|0~0|0,1,0|48~1.83|0.0458~0|0~0|0,,,,,,,,,,,,
前冲接上挑,3017,铁画银钩,横刃身前，以凌厉之态快速冲击敌人，并将之挑起，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/22.png,skillicon/22_small.png,2,5,17,,2,,35,,,,0|68~2.43|0.0608~0|0~0|0,1,0|68~2.43|0.0608~0|0~0|0,1,0|68~2.43|0.0608~0|0~0|0,,,,,,,,,,,,
升龙,3018,雪魄冰轮,折身回转，双刀侧持，勾画一轮满月清辉，攻击周身敌人，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/23.png,skillicon/23_small.png,2,5,18,,3,,30,,,,0|88~3.2|0.08~0|0~0|0,1,0|88~3.2|0.08~0|0~0|0,1,0|88~3.2|0.08~0|0~0|0,,,,,,,,,,,,
风魔手里剑,3019,结刃连环,连结双刀为飞轮，一掷而出，带起气流攻击敌人，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/24.png,skillicon/24_small.png,2,5,19,,4,,35,,,,0|128~4.6|0.115~0|0~0|0,1,0|128~4.6|0.115~0|0~0|0,1,0|128~4.6|0.115~0|0~0|0,,,,,,,,,,,,
召唤神龙,3020,冰龙出世,提灵凝神，召唤巨大冰龙之形，吞天噬地，尽咽敌人三魂七魄，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/25.png,skillicon/25_small.png,3,,20,,5,,,1,,,0|98~3.6|0.09~0|0~0|0,1,0|98~3.6|0.09~0|0~0|0,1,0|98~3.6|0.09~0|0~0|0,,,,,,,,,,,,
龙女变身,3048,龙女变身,龙女变身,gold,,1,,48,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗刹普攻1,4010,普攻1段,普攻1段,gold,,1,,10,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
罗刹普攻2,4011,普攻2段,普攻2段,gold,,1,,11,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
罗刹普攻3,4012,普攻3段,普攻3段,gold,,1,,12,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
罗刹普攻4,4013,普攻4段,普攻4段,gold,,1,,13,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
罗刹跳跃攻击,4015,技能1,1,gold,,1,,15,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
原地连打,4016,横鞭吹血,侧身长立，挥鞭飒飒而出，鞭势如环相连，对敌人造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/31.png,skillicon/31_small.png,2,5,16,,1,,40,,,,0|52~1.9|0.0475~0|0~0|0,1,0|52~1.9|0.0475~0|0~0|0,1,0|52~1.9|0.0475~0|0~0|0,,,,,,,,,,,,
前冲连打,4017,携风毒影,御风腾空冲向身前敌人，鞭影所到之处，绵密如织，不留余地，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/32.png,skillicon/32_small.png,2,5,17,,2,,35,,,,0|52~2.25|0.0563~0|0~0|0,1,0|52~2.25|0.0563~0|0~0|0,1,0|52~2.25|0.0563~0|0~0|0,,,,,,,,,,,,
浮空技,4018,幽冥鬼爪,召唤地底鬼爪，破土而出攻击身前敌人，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/33.png,skillicon/33_small.png,2,5,18,,3,,30,,,,0|126~4.5|0.1125~0|0~0|0,1,0|126~4.5|0.1125~0|0~0|0,1,0|126~4.5|0.1125~0|0~0|0,,,,,,,,,,,,
地刺,4019,破势袭杀,运鞭直击入地，蛰伏深处攻击敌人，先进而后退，造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/34.png,skillicon/34_small.png,2,5,19,,4,,35,,,,0|52~1.9|0.0475~0|0~0|0,1,0|52~1.9|0.0475~0|0~0|0,1,0|52~1.9|0.0475~0|0~0|0,,,,,,,,,,,,
罗刹无双,4020,炼狱神诀,默念神诀，施展妖灵之能，召唤炼狱恶鬼之爪一涌而出，再以最终之力贯之，对敌人造成[C]0x00B000[/C]{1}%[C/]攻击+[C]0x00B000[/C]{0}[C/]点的伤害。,skillicon/35.png,skillicon/35_small.png,3,,20,,5,,,1,,,0|78~2.9|0.0725~0|0~0|0,1,0|78~2.9|0.0725~0|0~0|0,1,0|78~2.9|0.0725~0|0~0|0,,,,,,,,,,,,
罗刹变身,4048,罗刹变身,罗刹变身,gold,,1,,48,,,,,,,,,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100001,巨灵神,,demon/6220.png,demon/6220_small.png,4,3,49,100001,,,,,250,,0|0~1.0|0.02~0|0~0|0,1,0|0~1.0|0.02~0|0~0|0,1,0|0~1.0|0.02~0|0~0|0,,,,,,,,,,,,
,100002,风·召灵,以气驭音，奏响乐声，召唤黄色妖风吹向敌人，对敌人造成[C]0x00B000[/C]{1}%[C/]攻击的的伤害。,demon/6140.png,demon/6140_small.png,4,3,49,100002,,,,,250,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,100003,道源真火,袍袖舒展，召唤道源所蕴之火，轰天灭地，对敌人造成[C]0x00B000[/C]{1}%[C/]攻击的的伤害。,demon/6190.png,demon/6190_small.png,4,3,49,100003,,,,,250,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
