备注,任务id,任务名称,接任务npcid,交任务npcid,任务完整描述,任务主分类,任务推荐等级,等级限制,任务图标,任务排序,章节ID,是否自动打开窗口,不可接任务对话ID,接任务对话id,已接任务对话id,交任务对话id,任务类型,完成条件key,完成条件count,数值1,数值2,数值3,前置任务id,后续任务id,任务是否可以放弃,不可接任务跟踪文本,任务跟踪可接文本,任务跟踪进行中文本,任务跟踪可交文本,完成任务广播频道,完成任务系统消息ID,奖励铜钱,奖励灵力,奖励威望,奖励经验,奖励物品通用,奖励物品职业1,奖励物品职业2,奖励物品职业3,奖励物品职业4,奖励任务ID,任务是否关闭,开启章节效果ID,自动寻路
,taskId,taskName,acceptNpcId,comNpcId,fullDesc,mainType,rLevel,conLevel,bmpId,order,chapterId,isAutoNPC,noAcceptTalkId,acceptTalkId,executeTalkId,finishTalkId,taskType,key,count,value1,value2,value3,preTaskId,nextTaskId,abandon,track_NoAccept,track_accept,track_execute,track_finish,comBroadcast,comBroadcastContent,reward_copper,reward_wakan,reward_prestige,reward_exp,rewardItem,rewardItem1,rewardItem2,rewardItem3,rewardItem4,rewardTaskId,isClose,effectid,auto_task
,101,南海观音,610002,610001,"自南海观音处得知觉因师妹也在此处,前去询问消息。",1,1,1,,101,0,,,805,806,807,2,,,,,,,102,,,去找{1#610002●观音大士}接受任务吧 ,与{1#610001●觉因}对话,完成任务，去找{1#610001●觉因}吧,,,385,308,,770,,,,,,,,,
,102,赤火之阵,610001,610001,在觉因师妹指点下破解赤火之阵。,1,2,2,,102,0,,,808,809,810,1,102,1,,,,101,103,,,去找{1#610001●觉因}接受任务吧 ,通关{2#102●赤火之阵},完成任务，去找{1#610001●觉因}吧,,,545,436,,1090,,5022101|1,5022102|1,5022103|1,5022104|1,,,,
水(技能1),103,黑水之阵,610001,610001,在觉因师妹指点下破解黑水之阵。,1,3,3,,103,0,,,811,809,812,1,103,1,,,,102,104,,,去找{1#610001●觉因}接受任务吧 ,通关{2#103●黑水之阵},完成任务，去找{1#610001●觉因}吧,,,700,560,,1400,5022010|1,,,,,,,,
,104,求助观音,610001,610002,前路茫茫不见，寻求观音大士帮助。,1,4,4,,104,0,,,813,147,814,2,,,,,,103,105,,,去找{1#610001●觉因}接受任务吧 ,与{1#610002●观音大士}对话,完成任务，去找{1#610002●观音大士}吧,,,865,692,,1730,,,,,,,,,
升级技能,105,招式突破,610002,610002,提升招式等级。,1,5,5,,105,0,,,820,816,821,3,15,1,,,,104,106,,,去找{1#610002●观音大士}接受任务吧,{16●提升技能等级},完成任务，去找{1#610002●观音大士}吧,,,1350,1080,,2700,5022020|1,,,,,,,,
,106,青木之阵,610002,610002,在观音大士指点下破解青木之阵。,1,6,6,,106,0,,,815,816,817,1,104,1,,,,105,107,,,去找{1#610002●观音大士}接受任务吧 ,通关{2#104●青木之阵},完成任务，去找{1#610002●观音大士}吧,,,1025,820,,2050,5022030|1,,,,,,,,
,107,白金之阵,610002,610002,在观音大士指点下破解白金之阵。,1,7,7,,107,0,,,818,816,819,1,105,1,,,,106,108,,,去找{1#610002●观音大士}接受任务吧 ,通关{2#105●白金之阵},完成任务，去找{1#610002●观音大士}吧,,,1200,960,,2400,5022060|1,,,,,,,,
阴(技能2),108,极阴之阵,610002,610002,在观音大士指点下破解极阴之阵。,1,8,8,,108,0,,,822,816,823,1,106,1,,,,107,109,,,去找{1#610002●观音大士}接受任务吧 ,通关{2#106●极阴之阵},完成任务，去找{1#610002●观音大士}吧,,,1500,1200,,3000,5022040|1,,,,,,,,
,109,极阳之阵,610002,610002,在观音大士指点下破解极阳之阵。,1,9,9,,109,0,,,824,816,825,1,107,1,,,,108,110,,,去找{1#610002●观音大士}接受任务吧 ,通关{2#107●极阳之阵},完成任务，去找{1#610002●观音大士}吧,,,1700,1360,,3400,5022050|1,,,,,,,,
,110,前往花果山,610002,600102,离开阴阳五行阵，前往花果山。,1,10,10,,110,0,,,673,,674,2,,,,,,109,1001,,,去找{1#610002●观音大士}接受任务吧 ,与{1#600102●觉因}对话,完成任务，去找{1#600102●觉因}吧,,,185,148,,370,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,测试副本,600102,600102,测试副本,2,150,150,,1,1,,,65,66,67,1,1001,5,,,,,2,,,去找{1#600102●觉因}接受任务吧,{2#1001●初探奇山}5次,完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,2,测试对话,600102,600102,测试对话,2,150,150,,2,1,,,68,,69,2,,,,,,1,3,,,去找{1#600102●觉因}接受任务吧,与{1#600102●觉因}对话,完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,3,测试穿戴装备,600102,600102,测试穿戴装备,2,150,150,,3,1,,,74,66,75,3,1,1,,,,2,4,1,,去找{1#600102●觉因}接受任务吧,打开{18●背包}，穿戴装备,完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,4,测试强化装备,600102,600102,测试强化装备,2,150,150,,4,1,,,70,66,71,3,2,1,,,,3,5,1,,去找{1#600102●觉因}接受任务吧,尝试{24●强化装备},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
(删),5,测试培养角色,600102,600102,测试培养角色,2,150,150,,5,1,,,72,66,73,3,3,1,,,,4,6,1,,去找{1#600102●觉因}接受任务吧,尝试{5●培养人物},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,1,,1
,6,测试探索宝石,600102,600102,测试探索宝石,2,150,150,,6,1,,,76,66,77,3,4,1,,,,5,7,1,,去找{1#600102●觉因}接受任务吧,尝试{6●探索宝石},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,7,测试镶嵌宝石,600102,600102,测试镶嵌宝石,2,150,150,,7,1,,,78,66,79,3,5,1,,,,6,8,1,,去找{1#600102●觉因}接受任务吧,尝试{7●镶嵌宝石},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,8,测试摇钱树,600102,600102,测试摇钱树,2,150,150,,8,1,,,80,66,81,3,6,1,,,,7,9,1,,去找{1#600102●觉因}接受任务吧,摇一摇{8●摇钱树},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,9,测试洗练装备,600102,600102,测试洗练装备,2,150,150,,9,1,,,82,66,83,3,7,1,,,,8,10,1,,去找{1#600102●觉因}接受任务吧,尝试{9●洗练装备},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,10,测试装备法宝,600102,600102,测试装备法宝,2,150,150,,10,1,,,84,66,85,3,8,1,,,,9,11,1,,去找{1#600102●觉因}接受任务吧,打开{19●背包}，装备法宝,完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,11,测试强化法宝,600102,600102,测试强化法宝,2,150,150,,11,1,,,86,66,87,3,9,1,,,,10,12,1,,去找{1#600102●觉因}接受任务吧,尝试{10●强化法宝},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
(删),12,测试点亮星盘,600102,600102,测试点亮星盘,2,150,150,,12,1,,,88,66,89,3,10,1,,,,11,13,1,,去找{1#600102●觉因}接受任务吧,尝试点亮{11●星盘},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,1,,1
(删),13,测试领取星盘经验,600102,600102,测试领取星盘经验,2,150,150,,13,1,,,90,66,91,3,11,1,,,,12,14,1,,去找{1#600102●觉因}接受任务吧,尝试从{11●星盘}领取经验,完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,1,,1
(删),14,测试装备八卦,600102,600102,测试装备八卦,2,150,150,,14,1,,,92,66,93,3,12,1,,,,13,15,1,,去找{1#600102●觉因}接受任务吧,尝试{13●装备八卦},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,1,,1
,15,测试领取妖魂,600102,600102,测试领取妖魂,2,150,150,,15,1,,,94,66,95,3,13,1,,,,14,16,1,,去找{1#600102●觉因}接受任务吧,领取一只{14●斗魂},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,16,测试装备称号,600102,600102,测试装备称号,2,150,150,,16,1,,,96,66,97,3,14,1,,,,15,17,1,,去找{1#600102●觉因}接受任务吧,尝试{15●装备称号},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,17,测试强化技能,600102,600102,测试强化技能,2,150,150,,17,1,,,98,66,99,3,15,1,,,,16,18,1,,去找{1#600102●觉因}接受任务吧,尝试{16●强化技能},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,18,测试 创建/加入 公会,600102,600102,测试 创建/加入 公会,2,150,150,,18,1,,,700,66,701,3,16,1,,,,17,19,1,,去找{1#600102●觉因}接受任务吧,尝试{22●加入或创建公会},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,19,测试竞技场,600102,600102,测试竞技场,2,150,150,,19,1,,,702,66,703,3,17,1,,,,18,20,1,,去找{1#600102●觉因}接受任务吧,尝试{23●参与竞技场战斗},完成任务，去找{1#600102●觉因}吧,,,1111,111,1111,1111,1000001|1,,,,,,,,1
,20,测试装备翅膀,600102,600102,测试装备翅膀,2,150,150,,20,1,,,92,66,93,3,18,1,,,,19,,1,,去找{1#600102●觉因}接受任务吧,尝试{28●装备翅膀},完成任务，去找{1#600102●觉因}吧,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001,得遇故人,600102,600101,才到山脚下，就遇到了师弟觉因，问问他是来做什么的。,1,10,10,,1001,1,,,144,,145,2,,,,,,110,1002,0,,去找{1#600102●觉因}接受任务吧,与{1#600101●齐天大圣}对话,与{1#600101●齐天大圣}对话。,,,173,69,,345,,,,,,,,,1
,1002,探看情势,600102,600102,四周有些闲散的天兵，先去试试身手吧。,1,10,10,,1002,1,,,146,147,148,1,1001,1,,,,1001,1003,0,,去找{1#600102●觉因}接受任务吧,通关{2#1001●初探奇山},完成任务，去找{1#600102●觉因}吧,,,1760,704,,3450,5022070|1,,,,,,,,1
(技能3),1003,孤身深入,600102,600102,游刃有余，再深入探索一番。,1,11,11,,1003,1,,,149,147,150,1,1002,1,,,,1002,1004,0,,去找{1#600102●觉因}接受任务吧,通关{2#1002●再试身手},完成任务，去找{1#600102●觉因}吧,,,1950,780,,3750,5022080|1,,,,,,,,1
,1004,受伤的老猕猴,600102,600103,旁边有只在哀叫的老猕猴，问问他怎么了。,1,12,12,,1004,1,,,151,,152,2,,,,,,1003,1005,0,,去找{1#600102●觉因}接受任务吧,与{1#600103●老猕猴}对话,完成任务，去找{1#600103●老猕猴}吧,,,215,86,,405,,,,,,,,,1
,1005,施行解救,600103,600103,好人有好报，将老猕猴的孙子救出来。,1,12,12,,1005,1,,,153,154,155,1,1003,1,,,,1004,1006,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#1003●解救猕猴},完成任务，去找{1#600103●老猕猴}吧,,,2187,875,,4050,5022090|1,,,,,,,,1
巨灵神,1006,咄咄逼人的巨灵神,600103,600103,将追来的巨灵神打败。,1,13,13,,1006,1,,,156,159,157,1,1004,1,,,,1005,10061,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#1004●先锋大将},完成任务，去找{1#600103●老猕猴}吧,,,2393,957,,4350,,,,,,,,,1
精英巨灵神,10061,精英巨灵神,600106,600106,通关{20#101001●精英巨灵神}。,1,14,14,,1007,1,1,,459,460,461,1,101001,1,,,,1006,1007,0,,去找{1#600106●猴兵乙}接受任务吧 ,通关{20#101001●精英巨灵神},完成任务，去找{1#600106●猴兵乙}吧,,,1380,552,,2465,,5043101|1,5043102|1,5043103|1,5043104|1,,,,
(技能4),1007,琵琶杀阵,600103,600103,追击猴精们的四大天王出现了，先寻找冲在最先的家伙吧。,1,14,14,,1008,1,,,158,159,160,1,1005,1,,,,10061,10071,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#1005●天将何在},完成任务，去找{1#600103●老猕猴}吧,,,1511,604,,2650,,,,,,,,,1
翅膀,10071,获得神翼,600102,600102,获得神翼,1,15,15,,1009,1,,,92,,93,2,,,,,,1007,1008,0,,去找{1#600102●觉因}接受任务吧,{28●装备翅膀},完成任务，去找{1#600102●觉因}吧,,,287,115,,495,,,,,,,,,
持国,1008,持国天王,600103,600103,追击猴精们的四大天王出现了，先解决冲在最先的家伙吧。,1,15,15,,1010,1,,,100,159,161,1,1006,1,,,,10071,10081,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#1006●持国天王},完成任务，去找{1#600103●老猕猴}吧,,,2921,1168,,4950,,,,,,,,,1
101002,10081,精英持国天王,600106,600106,通关{20#101002●精英持国天王}。,1,16,16,,1011,1,,,459,460,461,1,101002,1,,,,1008,1009,0,,去找{1#600106●猴兵乙}接受任务吧 ,通关{20#101002●精英持国天王},完成任务，去找{1#600106●猴兵乙}吧,,,315,126,,525,5043040|1,,,,,,,,
,1009,速援,600103,600105,情势不容乐观，杀出一条血路，冲到山腰支援。,1,16,16,,1012,1,,,162,159,163,1,1007,1,,,,10081,10091,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#1007●逆战而上},完成任务，去找{1#600105●猴兵甲}吧,,,3203,1281,,5250,,,,,,,,,1
无双之力,10091,无双之力,600102,600102,领悟无双。,1,17,17,,1013,1,,,829,147,830,1,300103,1,,,,1009,1010,0,,去找{1#600102●觉因}接受任务吧,通关{29#300103●虚明幻境},完成任务，去找{1#600102●觉因}吧,,,326,130,,525,,,,,,,,,
,1010,威风赫赫,600105,600105,竟如此仗势欺人，留他不得，寻找引领天兵的持国天王。,1,17,17,,1014,1,,,164,165,166,1,1008,1,,,,10091,1011,0,,去找{1#600105●猴兵甲}接受任务吧,通关{2#1008●营救俘虏},完成任务，去找{1#600105●猴兵甲}吧,,,3402,1361,,5400,,,,,,,,,1
多闻,1011,多闻天王,600105,600105,击败持国天王。,1,18,18,,1015,1,,,167,165,168,1,1009,1,,,,1010,10111,0,,去找{1#600105●猴兵甲}接受任务吧,通关{2#1009●多闻天王},完成任务，去找{1#600105●猴兵甲}吧,,,3552,1421,,5550,,,,,,,,,1
101003,10111,精英多闻天王,600106,600106,通关{20#101003●精英多闻天王}。,1,18,18,,1016,1,,,459,460,461,1,101003,1,,,,1011,1012,0,,去找{1#600106●猴兵乙}接受任务吧 ,通关{20#101003●精英多闻天王},完成任务，去找{1#600106●猴兵乙}吧,,,361,144,,555,5043030|1,,,,,,,,
,1012,齐天大圣,600105,600105,与猴兵甲对话，了解花果山上发生的情况。,1,19,19,,1017,1,,,169,,170,2,,,,,,10111,1013,0,,去找{1#600105●猴兵甲}接受任务吧,与{1#600105●猴兵甲}对话,完成任务，去找{1#600105●猴兵甲}吧,,,376,150,,570,,,,,,,,,1
,1013,登顶,600105,600106,冲到山顶。,1,19,19,,1018,1,,,172,165,171,1,1010,1,,,,1012,1014,0,,去找{1#600105●猴兵甲}接受任务吧,通关{2#1010●持兵登顶},完成任务，去找{1#600106●猴兵乙}吧,,,3819,1528,,5700,,,,,,,,,1
,1014,乱军寻踪,600106,600106,与猴兵乙对话，了解现在的局势。,1,20,20,,1019,1,,,173,174,175,1,1011,1,,,,1013,1015,0,,去找{1#600106●猴兵乙}接受任务吧,通关{2#1011●大杀四方},完成任务，去找{1#600106●猴兵乙}吧,,,3978,1591,,5850,,,,,,,,,1
(删)强化装备,,秣马厉兵,600102,600102,打开锻造面板，强化装备。,1,12,20,,,1,,,786,772,787,3,2,1,,,,,,0,,去找{1#600102●觉因}接受任务吧,{24●强化装备},完成任务，去找{1#600102●觉因}吧,,,404,161,,585,,,,,,,1,,1
雷公,1015,战雷公,600106,600106,决心与雷公一战。,1,21,21,,1020,1,,,176,174,177,1,1012,1,,,,1014,10151,0,,去找{1#600106●猴兵乙}接受任务吧,通关{2#1012●勇战雷公},完成任务，去找{1#600106●猴兵乙}吧,,,4200,1680,,6000,1000004|2,,,,,,,,1
升阶翅膀,10151,神翼升阶,600102,600102,神翼升阶,1,21,21,,1021,1,1,,827,147,828,3,20,1,,,,1015,10152,0,,去找{1#600102●觉因}接受任务吧,{28●神翼升阶},完成任务，去找{1#600102●觉因}吧,,,426,170,,600,,,,,,,,,
101004,10152,精英雷公,600102,600102,通关{20#101004●精英雷公}。,1,21,21,,1022,1,1,,459,460,461,1,101004,1,,,,10151,2001,0,,去找{1#600102●觉因}接受任务吧,通关{20#101004●精英雷公},完成任务，去找{1#600102●觉因}吧,,,2160,864,,3000,5043010|1,,,,,,,,
(删)强化翅膀,,强化神翼,600106,600106,强化翅膀,1,21,21,,,1,1,,797,798,799,3,19,1,,,,,,0,,去找{1#600106●猴兵乙}接受任务吧,{28●强化神翼},完成任务，去找{1#600106●猴兵乙}吧,,,438,175,,600,7002004|1,,,,,,,,
(删)法宝,,法宝开启,600102,600102,法宝开启,1,21,21,,,1,1,,84,460,85,1,300102,1,,,,,,0,,去找{1#600102●觉因}接受任务吧,通关{29#300102●虚空幻境},完成任务，去找{1#600102●觉因}吧,,,444,178,,600,,,,,,,1,,
(删)强化法宝,,强化法宝,600102,600102,强化法宝,1,21,21,,,1,1,,86,460,87,3,9,1,,,,,,0,,去找{1#600102●觉因}接受任务吧,尝试{10●强化法宝},完成任务，去找{1#600102●觉因}吧,,,450,180,,600,,,,,,,1,,
,2001,把酒同欢,600101,600101,与齐天大圣孙悟空饮酒庆祝。,1,22,22,,2001,2,,,101,,102,2,,,,,,10152,2002,0,,去找{1#600101●齐天大圣}接受任务吧,与{1#600101●齐天大圣}对话,与{1#600101●齐天大圣}对话，完成任务。,,,467,187,,615,,,,,,,,,1
,2002,收拾残局,600101,600106,与猴兵乙对话，询问猴兵们是否集合完毕。,1,22,22,,2002,2,,,103,,104,2,,,,,,2001,2003,0,,去找{1#600101●齐天大圣}接受任务吧,与{1#600106●猴兵乙}对话,与{1#600106●猴兵乙}对话，完成任务。,,,474,189,,615,,,,,,,,,1
