称号ID,称号名称,类型,介绍,图标,称号图,品质,是否触发系统消息,穿戴属性
id,name,type,desc,ico,pic,rank,msg,wear_attribute
1001,小有所成,1,达到50级即可获得,,,2,,4|500~5|50~6|25~7|25~8|25~9|25~10|25
1002,横行天下,1,达到100级即可获得,,,3,,4|1000~5|100~6|50~7|50~8|50~9|50~10|50
1003,略有所得,1,拥有1百万铜钱即可获得,,,1,,8|50~9|50~10|50~11|10
1004,小有积蓄,1,拥有1千万铜钱即可获得,,,2,,8|100~9|100~10|100~11|20
1005,财大气粗,1,拥有1亿铜钱即可获得,,,3,,8|150~9|150~10|150~11|30
1006,初出茅庐,1,声望达到1000即可获得,,,1,,4|200~12|5
1007,小有名气,1,声望达到10000即可获得,,,2,,4|500~12|10
1008,声名大噪,1,声望达到10万即可获得,,,3,,4|1000~12|15
1009,名扬四海,1,声望达到50万即可获得,,,4,,4|2000~12|20
1010,小有成就,1,成就点数达到1000点即可获得,,,2,,13|100~16|100
,,,,,,,,
2001,为何还不去取经,2,完成50个主线任务后获得,,,1,,14|25~15|25
2002,取经一半有点累,2,完成200个主线任务后获得,,,2,,14|50~15|50
,,,,,,,,
3001,精英战士,3,通关“精英巨灵神”后获得,,,2,,4|500~5|50~6|25~7|25~13|25~15|25
3002,魔王杀手,3,通关“魔王阎王”后获得,,,2,,4|600~5|60~6|30~7|30~13|30~15|30
,,,,,,,,
4001,独领风骚,4,竞技场第一名,,,4,401,4|1500~8|50~9|50~10|50~12|20~14|50~16|50
4002,极品DPS,4,世界boss伤害第一名,,,4,401,4|1500~5|100~6|50~7|50~11|20~15|50
4003,首席DPS,4,积分boss伤害第一名,,,4,401,4|1500~5|100~6|50~7|50~11|20~15|50
4004,爱与正义的战士,4,击杀世界boss,,,4,401,4|1500~5|100~6|50~7|50~11|20~13|50
4005,爱与和平的战士,4,击杀积分boss,,,4,401,4|1500~5|100~6|50~7|50~11|20~13|50
4006,一览众山小,4,公会战 第一名公会的会长,,,5,401,4|2000~5|200~6|100~7|100~13|50~14|50~15|50~16|50
,,,,,,,,
5001,组织的一份子,5,加入一个公会,,,1,,5|50~6|25~7|25~8|25~9|25~10|25
