名字,类型,物品,铜钱,金币,灵力,声望
name,type,item,copper,gold,wakan,prestige
击杀奖励,killer_reward_1,,1000000,0,50000,500
1奖励,reward_1_1,,2000000,0,100000,900
2奖励,reward_1_2,,1600000,0,80000,700
3奖励,reward_1_3,,1300000,0,65000,600
4奖励,reward_1_4,,1100000,0,55000,550
5奖励,reward_1_5,,1000000,0,50000,500
6奖励,reward_1_6,,980000,0,49000,490
7奖励,reward_1_7,,960000,0,48000,480
8奖励,reward_1_8,,940000,0,47000,470
9奖励,reward_1_9,,920000,0,46000,460
10奖励,reward_1_10,,900000,0,45000,450
11奖励,reward_1_11,,890000,0,44500,445
12奖励,reward_1_12,,880000,0,44000,440
13奖励,reward_1_13,,870000,0,43500,435
14奖励,reward_1_14,,860000,0,43000,430
15奖励,reward_1_15,,850000,0,42500,425
16奖励,reward_1_16,,840000,0,42000,420
17奖励,reward_1_17,,830000,0,41500,415
18奖励,reward_1_18,,820000,0,41000,410
19奖励,reward_1_19,,810000,0,40500,405
20奖励,reward_1_20,,800000,0,40000,400
21奖励,reward_1_21,,790000,0,39500,395
22奖励,reward_1_22,,780000,0,39000,390
23奖励,reward_1_23,,770000,0,38500,385
24奖励,reward_1_24,,760000,0,38000,380
25奖励,reward_1_25,,750000,0,37500,375
26奖励,reward_1_26,,740000,0,37000,370
27奖励,reward_1_27,,730000,0,36500,365
28奖励,reward_1_28,,720000,0,36000,360
29奖励,reward_1_29,,710000,0,35500,355
30奖励,reward_1_30,,700000,0,35000,350
31奖励,reward_1_31,,690000,0,34500,345
32奖励,reward_1_32,,680000,0,34000,340
33奖励,reward_1_33,,670000,0,33500,335
34奖励,reward_1_34,,660000,0,33000,330
35奖励,reward_1_35,,650000,0,32500,325
36奖励,reward_1_36,,640000,0,32000,320
37奖励,reward_1_37,,630000,0,31500,315
38奖励,reward_1_38,,620000,0,31000,310
39奖励,reward_1_39,,610000,0,30500,305
40奖励,reward_1_40,,600000,0,30000,300
41奖励,reward_1_41,,590000,0,29500,295
42奖励,reward_1_42,,580000,0,29000,290
43奖励,reward_1_43,,570000,0,28500,285
44奖励,reward_1_44,,560000,0,28000,280
45奖励,reward_1_45,,550000,0,27500,275
46奖励,reward_1_46,,540000,0,27000,270
47奖励,reward_1_47,,530000,0,26500,265
48奖励,reward_1_48,,520000,0,26000,260
49奖励,reward_1_49,,510000,0,25500,255
50奖励,reward_1_50,,500000,0,25000,250
51奖励,reward_1_51,,495000,0,24750,249
52奖励,reward_1_52,,490000,0,24500,248
53奖励,reward_1_53,,485000,0,24250,247
54奖励,reward_1_54,,480000,0,24000,246
55奖励,reward_1_55,,475000,0,23750,245
56奖励,reward_1_56,,470000,0,23500,244
57奖励,reward_1_57,,465000,0,23250,243
58奖励,reward_1_58,,460000,0,23000,242
59奖励,reward_1_59,,455000,0,22750,241
60奖励,reward_1_60,,450000,0,22500,240
61奖励,reward_1_61,,445000,0,22250,239
62奖励,reward_1_62,,440000,0,22000,238
63奖励,reward_1_63,,435000,0,21750,237
64奖励,reward_1_64,,430000,0,21500,236
65奖励,reward_1_65,,425000,0,21250,235
66奖励,reward_1_66,,420000,0,21000,234
67奖励,reward_1_67,,415000,0,20750,233
68奖励,reward_1_68,,410000,0,20500,232
69奖励,reward_1_69,,405000,0,20250,231
70奖励,reward_1_70,,400000,0,20000,230
71奖励,reward_1_71,,395000,0,19750,229
72奖励,reward_1_72,,390000,0,19500,228
73奖励,reward_1_73,,385000,0,19250,227
74奖励,reward_1_74,,380000,0,19000,226
75奖励,reward_1_75,,375000,0,18750,225
76奖励,reward_1_76,,370000,0,18500,224
77奖励,reward_1_77,,365000,0,18250,223
78奖励,reward_1_78,,360000,0,18000,222
79奖励,reward_1_79,,355000,0,17750,221
80奖励,reward_1_80,,350000,0,17500,220
81奖励,reward_1_81,,345000,0,17250,219
82奖励,reward_1_82,,340000,0,17000,218
83奖励,reward_1_83,,335000,0,16750,217
84奖励,reward_1_84,,330000,0,16500,216
85奖励,reward_1_85,,325000,0,16250,215
86奖励,reward_1_86,,320000,0,16000,214
87奖励,reward_1_87,,315000,0,15750,213
88奖励,reward_1_88,,310000,0,15500,212
89奖励,reward_1_89,,305000,0,15250,211
90奖励,reward_1_90,,300000,0,15000,210
91奖励,reward_1_91,,295000,0,14750,209
92奖励,reward_1_92,,290000,0,14500,208
93奖励,reward_1_93,,285000,0,14250,207
94奖励,reward_1_94,,280000,0,14000,206
95奖励,reward_1_95,,275000,0,13750,205
96奖励,reward_1_96,,270000,0,13500,204
97奖励,reward_1_97,,265000,0,13250,203
98奖励,reward_1_98,,260000,0,13000,202
99奖励,reward_1_99,,255000,0,12750,201
100奖励,reward_1_100,,250000,0,12500,200
